,Name,Party,State,Bill:,Congress-Session:,Category
0,Michele Marie Bachmann,Republican Party,Minnesota,HJRes 41,111- 1,Primary
1,Spencer Thomas Bachus III,Republican Party,Alabama,HJRes 41,111- 1,Cosponsor
2,John B. Shadegg,Republican Party,Arizona,HJRes 41,111- 1,Cosponsor
3,Tom McClintock,Republican Party,California,HJRes 41,111- 1,Cosponsor
4,Darrell E. Issa,Republican Party,California,HJRes 41,111- 1,Cosponsor
5,Ken S. Calvert,Republican Party,California,HJRes 41,111- 1,Cosponsor
6,Doug Lamborn,Republican Party,Colorado,HJRes 41,111- 1,Cosponsor
7,Bill Posey,Republican Party,Florida,HJRes 41,111- 1,Cosponsor
8,Tom Price,Republican Party,Georgia,HJRes 41,111- 1,Cosponsor
9,Phil Gingrey,Republican Party,Georgia,HJRes 41,111- 1,Cosponsor
10,Paul C. Broun Jr.,Republican Party,Georgia,HJRes 41,111- 1,Cosponsor
11,Mark Steven Kirk,Republican Party,Illinois,HJRes 41,111- 1,Cosponsor
12,Judy Biggert,Republican Party,Illinois,HJRes 41,111- 1,Cosponsor
13,Dan L. Burton,Republican Party,Indiana,HJRes 41,111- 1,Cosponsor
14,Steve A. King,Republican Party,Iowa,HJRes 41,111- 1,Cosponsor
15,John Fleming,Republican Party,Louisiana,HJRes 41,111- 1,Cosponsor
16,Roscoe G. Bartlett,Republican Party,Maryland,HJRes 41,111- 1,Cosponsor
17,Thaddeus G. McCotter,Republican Party,Michigan,HJRes 41,111- 1,Cosponsor
18,Peter Hoekstra,Republican Party,Michigan,HJRes 41,111- 1,Cosponsor
19,W. Todd Akin,Republican Party,Missouri,HJRes 41,111- 1,Cosponsor
20,Virginia Foxx,Republican Party,North Carolina,HJRes 41,111- 1,Cosponsor
21,Walter B. Jones Jr.,Republican Party,North Carolina,HJRes 41,111- 1,Cosponsor
22,Mary Fallin,Republican Party,Oklahoma,HJRes 41,111- 1,Cosponsor
23,Joseph R. Pitts,Republican Party,Pennsylvania,HJRes 41,111- 1,Cosponsor
24,Glenn Thompson,Republican Party,Pennsylvania,HJRes 41,111- 1,Cosponsor
25,Todd R. Platts,Republican Party,Pennsylvania,HJRes 41,111- 1,Cosponsor
26,Henry E. Brown Jr.,Republican Party,South Carolina,HJRes 41,111- 1,Cosponsor
27,Zach Wamp,Republican Party,Tennessee,HJRes 41,111- 1,Cosponsor
28,Marsha W. Blackburn,Republican Party,Tennessee,HJRes 41,111- 1,Cosponsor
29,David P. Roe,Republican Party,Tennessee,HJRes 41,111- 1,Cosponsor
30,John J. Duncan Jr.,Republican Party,Tennessee,HJRes 41,111- 1,Cosponsor
31,Jeb Hensarling,Republican Party,Texas,HJRes 41,111- 1,Cosponsor
32,Louie B. Gohmert Jr.,Republican Party,Texas,HJRes 41,111- 1,Cosponsor
33,Ronald E. Paul,Republican Party,Texas,HJRes 41,111- 1,Cosponsor
34,John Abney Culberson,Republican Party,Texas,HJRes 41,111- 1,Cosponsor
35,K. Michael Conaway,Republican Party,Texas,HJRes 41,111- 1,Cosponsor
36,Kenny Ewell Marchant,Republican Party,Texas,HJRes 41,111- 1,Cosponsor
37,Joe Linus Barton,Republican Party,Texas,HJRes 41,111- 1,Cosponsor
38,John T. Doolittle,Republican Party,California,HJRes 167,103- 1,Primary
39,Terry Everett,Republican Party,Alabama,HJRes 167,103- 1,Cosponsor
40,Don E. Young,Republican Party,Alaska,HJRes 167,103- 1,Cosponsor
41,Robert Stump,Republican Party,Arizona,HJRes 167,103- 1,Cosponsor
42,Jay Dickey,Republican Party,Arkansas,HJRes 167,103- 1,Cosponsor
43,Tim Hutchinson,Republican Party,Arkansas,HJRes 167,103- 1,Cosponsor
44,William P. Baker,Republican Party,California,HJRes 167,103- 1,Cosponsor
45,Gary Condit,Democratic Party,California,HJRes 167,103- 1,Cosponsor
46,Randall H. Cunningham,Republican Party,California,HJRes 167,103- 1,Cosponsor
47,Elton W. Gallegly,Republican Party,California,HJRes 167,103- 1,Cosponsor
48,Walter Herger,Republican Party,California,HJRes 167,103- 1,Cosponsor
49,Stephen Horn,Republican Party,California,HJRes 167,103- 1,Cosponsor
50,Michael Huffington,Republican Party,California,HJRes 167,103- 1,Cosponsor
51,Duncan L. Hunter,Republican Party,California,HJRes 167,103- 1,Cosponsor
52,Jay Kim,Republican Party,California,HJRes 167,103- 1,Cosponsor
53,Ron Packard,Republican Party,California,HJRes 167,103- 1,Cosponsor
54,Richard W. Pombo,Republican Party,California,HJRes 167,103- 1,Cosponsor
55,Dana T. Rohrabacher,Republican Party,California,HJRes 167,103- 1,Cosponsor
56,Edward R. Royce,Republican Party,California,HJRes 167,103- 1,Cosponsor
57,Joel Hefley,Republican Party,Colorado,HJRes 167,103- 1,Cosponsor
58,Scott McInnis,Republican Party,Colorado,HJRes 167,103- 1,Cosponsor
59,Gary A. Franks,Republican Party,Connecticut,HJRes 167,103- 1,Cosponsor
60,Nancy Lee Johnson,Republican Party,Connecticut,HJRes 167,103- 1,Cosponsor
61,Tillie K. Fowler,Republican Party,Florida,HJRes 167,103- 1,Cosponsor
62,Porter J. Goss,Republican Party,Florida,HJRes 167,103- 1,Cosponsor
63,Thomas F. Lewis,Republican Party,Florida,HJRes 167,103- 1,Cosponsor
64,Ileana Ros-Lehtinen,Republican Party,Florida,HJRes 167,103- 1,Cosponsor
65,Clifford B. Stearns,Republican Party,Florida,HJRes 167,103- 1,Cosponsor
66,Newton Leroy Gingrich,Republican Party,Georgia,HJRes 167,103- 1,Cosponsor
67,Jack Kingston,Republican Party,Georgia,HJRes 167,103- 1,Cosponsor
68,Michael D. Crapo,Republican Party,Idaho,HJRes 167,103- 1,Cosponsor
69,Philip M. Crane,Republican Party,Illinois,HJRes 167,103- 1,Cosponsor
70,Thomas W. Ewing,Republican Party,Illinois,HJRes 167,103- 1,Cosponsor
71,Harris W. Fawell,Republican Party,Illinois,HJRes 167,103- 1,Cosponsor
72,J. Dennis Hastert,Republican Party,Illinois,HJRes 167,103- 1,Cosponsor
73,Henry John Hyde,Republican Party,Illinois,HJRes 167,103- 1,Cosponsor
74,Dan L. Burton,Republican Party,Indiana,HJRes 167,103- 1,Cosponsor
75,Stephen E. Buyer,Republican Party,Indiana,HJRes 167,103- 1,Cosponsor
76,Jan Meyers,Republican Party,Kansas,HJRes 167,103- 1,Cosponsor
77,Richard Hugh Baker,Republican Party,Louisiana,HJRes 167,103- 1,Cosponsor
78,Robert Linligthgow Livingston Jr.,Republican Party,Louisiana,HJRes 167,103- 1,Cosponsor
79,Roscoe G. Bartlett,Republican Party,Maryland,HJRes 167,103- 1,Cosponsor
80,Wayne T. Gilchrest,Republican Party,Maryland,HJRes 167,103- 1,Cosponsor
81,Peter Gerard Torkildsen,Republican Party,Massachusetts,HJRes 167,103- 1,Cosponsor
82,Peter Hoekstra,Republican Party,Michigan,HJRes 167,103- 1,Cosponsor
83,Fred Stephen Upton,Republican Party,Michigan,HJRes 167,103- 1,Cosponsor
84,Rod Grams,Republican Party,Minnesota,HJRes 167,103- 1,Cosponsor
85,Melton D. Hancock,Republican Party,Missouri,HJRes 167,103- 1,Cosponsor
86,Barbara Farrell Vucanovich,Republican Party,Nevada,HJRes 167,103- 1,Cosponsor
87,William H. Zeliff Jr.,Republican Party,New Hampshire,HJRes 167,103- 1,Cosponsor
88,Bob Franks,Republican Party,New Jersey,HJRes 167,103- 1,Cosponsor
89,Dean Anderson Gallo,Republican Party,New Jersey,HJRes 167,103- 1,Cosponsor
90,Christopher H. Smith,Republican Party,New Jersey,HJRes 167,103- 1,Cosponsor
91,Richard Zimmer,Republican Party,New Jersey,HJRes 167,103- 1,Cosponsor
92,L. William Paxon,Republican Party,New York,HJRes 167,103- 1,Cosponsor
93,Gerald Brooks Hunt Solomon,Republican Party,New York,HJRes 167,103- 1,Cosponsor
94,Howard Coble,Republican Party,North Carolina,HJRes 167,103- 1,Cosponsor
95,Cass Ballenger,Republican Party,North Carolina,HJRes 167,103- 1,Cosponsor
96,John A. Boehner,Republican Party,Ohio,HJRes 167,103- 1,Cosponsor
97,Paul E. Gillmor,Republican Party,Ohio,HJRes 167,103- 1,Cosponsor
98,David Lee Hobson,Republican Party,Ohio,HJRes 167,103- 1,Cosponsor
99,Martin R. Hoke,Republican Party,Ohio,HJRes 167,103- 1,Cosponsor
100,John R. Kasich,Republican Party,Ohio,HJRes 167,103- 1,Cosponsor
101,Deborah D. Pryce,Republican Party,Ohio,HJRes 167,103- 1,Cosponsor
102,James M. Inhofe,Republican Party,Oklahoma,HJRes 167,103- 1,Cosponsor
103,Ernest J. Istook Jr.,Republican Party,Oklahoma,HJRes 167,103- 1,Cosponsor
104,George W. Gekas,Republican Party,Pennsylvania,HJRes 167,103- 1,Cosponsor
105,James C. Greenwood,Republican Party,Pennsylvania,HJRes 167,103- 1,Cosponsor
106,Richard J. Santorum,Republican Party,Pennsylvania,HJRes 167,103- 1,Cosponsor
107,Bob Inglis,Republican Party,South Carolina,HJRes 167,103- 1,Cosponsor
108,Donald Kenneth Sundquist,Republican Party,Tennessee,HJRes 167,103- 1,Cosponsor
109,Richard K. Armey,Republican Party,Texas,HJRes 167,103- 1,Cosponsor
110,Thomas Dale DeLay,Republican Party,Texas,HJRes 167,103- 1,Cosponsor
111,Sam Robert Johnson,Republican Party,Texas,HJRes 167,103- 1,Cosponsor
112,James V. Hansen,Republican Party,Utah,HJRes 167,103- 1,Cosponsor
113,Bob W. Goodlatte,Republican Party,Virginia,HJRes 167,103- 1,Cosponsor
114,Scott L. Klug,Republican Party,Wisconsin,HJRes 167,103- 1,Cosponsor
115,F. James Sensenbrenner Jr.,Republican Party,Wisconsin,HJRes 167,103- 1,Cosponsor
116,H. L. Callahan,Republican Party,Alabama,HJRes 60,105- 1,Primary
117,Terry Everett,Republican Party,Alabama,HJRes 60,105- 1,Cosponsor
118,Robert Stump,Republican Party,Arizona,HJRes 60,105- 1,Cosponsor
119,James A. Traficant Jr.,Democratic Party,Ohio,HJRes 60,105- 1,Cosponsor
120,H. L. Callahan,Republican Party,Alabama,HJRes 396,103- 2,Primary
121,Terry Everett,Republican Party,Alabama,HJRes 396,103- 2,Cosponsor
122,Robert Stump,Republican Party,Arizona,HJRes 396,103- 2,Cosponsor
123,James A. Traficant Jr.,Democratic Party,Ohio,HJRes 396,103- 2,Cosponsor
124,William Sulzer,Democratic Party,New York,HRes 39,54- 1,Primary
125,Virgil H. Goode Jr.,Republican Party,Virginia,HJRes 94,108- 2,Primary
126,John T. Doolittle,Republican Party,California,HJRes 94,108- 2,Cosponsor
127,Ken S. Calvert,Republican Party,California,HJRes 94,108- 2,Cosponsor
128,Jack Kingston,Republican Party,Georgia,HJRes 94,108- 2,Cosponsor
129,Dan L. Burton,Republican Party,Indiana,HJRes 94,108- 2,Cosponsor
130,Steve A. King,Republican Party,Iowa,HJRes 94,108- 2,Cosponsor
131,Roscoe G. Bartlett,Republican Party,Maryland,HJRes 94,108- 2,Cosponsor
132,Walter B. Jones Jr.,Republican Party,North Carolina,HJRes 94,108- 2,Cosponsor
133,John Abney Culberson,Republican Party,Texas,HJRes 94,108- 2,Cosponsor
134,Sam Robert Johnson,Republican Party,Texas,HJRes 94,108- 2,Cosponsor
135,Nick J. Rahall II,Democratic Party,West Virginia,HJRes 85,109- 2,Primary
136,Alan B. Mollohan,Democratic Party,West Virginia,HJRes 85,109- 2,Cosponsor
137,Steve A. King,Republican Party,Iowa,HJRes 49,116- 1,Primary
138,Nick J. Rahall II,Democratic Party,West Virginia,HJRes 41,110- 1,Primary
139,Tom McClintock,Republican Party,California,HJRes 84,112- 1,Primary
140,John Bayard Taylor Campbell III,Republican Party,California,HJRes 84,112- 1,Cosponsor
