,Name,Party,State,Bill:,Congress-Session:,Category
71,E. Clay Shaw Jr.,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
72,John L. Mica,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
73,Ileana Ros-Lehtinen,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
74,Allen Boyd Jr.,Democratic Party,Florida,HJRes 54,105- 1,Cosponsor
75,Bob Barr,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
76,Sanford D. Bishop Jr.,Democratic Party,Georgia,HJRes 54,105- 1,Cosponsor
77,Michael Allen Collins,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
78,Nathan Deal,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
79,Jack Kingston,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
80,John Linder,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
81,Charles W. Norwood Jr.,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
82,Saxby Chambliss,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
83,Newton Leroy Gingrich,Republican Party,Georgia,HJRes 54,105- 1,Cosponsor
84,Michael D. Crapo,Republican Party,Idaho,HJRes 54,105- 1,Cosponsor
85,Helen Chenoweth-Hage,Republican Party,Idaho,HJRes 54,105- 1,Cosponsor
86,Philip M. Crane,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
87,Thomas W. Ewing,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
88,J. Dennis Hastert,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
89,Henry John Hyde,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
90,Ray H. LaHood,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
91,William O. Lipinski,Democratic Party,Illinois,HJRes 54,105- 1,Cosponsor
92,Donald A. Manzullo,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
93,John M. Shimkus,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
94,Gerald C. Weller,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
95,Harris W. Fawell,Republican Party,Illinois,HJRes 54,105- 1,Cosponsor
96,Dan L. Burton,Republican Party,Indiana,HJRes 54,105- 1,Cosponsor
97,Stephen E. Buyer,Republican Party,Indiana,HJRes 54,105- 1,Cosponsor
98,Lee Herbert Hamilton,Democratic Party,Indiana,HJRes 54,105- 1,Cosponsor
99,John Nathan Hostettler,Republican Party,Indiana,HJRes 54,105- 1,Cosponsor
100,David M. McIntosh,Republican Party,Indiana,HJRes 54,105- 1,Cosponsor
101,Timothy Roemer,Democratic Party,Indiana,HJRes 54,105- 1,Cosponsor
102,Mark Edward Souder,Republican Party,Indiana,HJRes 54,105- 1,Cosponsor
103,Edward A. Pease,Republican Party,Indiana,HJRes 54,105- 1,Cosponsor
104,Leonard L. Boswell,Democratic Party,Iowa,HJRes 54,105- 1,Cosponsor
105,Greg Ganske,Republican Party,Iowa,HJRes 54,105- 1,Cosponsor
106,Tom P. Latham,Republican Party,Iowa,HJRes 54,105- 1,Cosponsor
107,James Allen Nussle,Republican Party,Iowa,HJRes 54,105- 1,Cosponsor
108,Todd Tiahrt,Republican Party,Kansas,HJRes 54,105- 1,Cosponsor
109,Jerry Moran,Republican Party,Kansas,HJRes 54,105- 1,Cosponsor
110,Vincent K. Snowbarger,Republican Party,Kansas,HJRes 54,105- 1,Cosponsor
111,Jim R. Ryun,Republican Party,Kansas,HJRes 54,105- 1,Cosponsor
112,Jim Bunning,Republican Party,Kentucky,HJRes 54,105- 1,Cosponsor
113,Harold Rogers,Republican Party,Kentucky,HJRes 54,105- 1,Cosponsor
114,Ed Whitfield,Republican Party,Kentucky,HJRes 54,105- 1,Cosponsor
115,Ron Lewis,Republican Party,Kentucky,HJRes 54,105- 1,Cosponsor
116,Anne Meagher Northup,Republican Party,Kentucky,HJRes 54,105- 1,Cosponsor
117,Henry Scott Baesler,Democratic Party,Kentucky,HJRes 54,105- 1,Cosponsor
118,Richard Hugh Baker,Republican Party,Louisiana,HJRes 54,105- 1,Cosponsor
119,William J. Jefferson,Democratic Party,Louisiana,HJRes 54,105- 1,Cosponsor
120,Christopher John,Democratic Party,Louisiana,HJRes 54,105- 1,Cosponsor
121,Robert Linligthgow Livingston Jr.,Republican Party,Louisiana,HJRes 54,105- 1,Cosponsor
122,James O. McCrery III,Republican Party,Louisiana,HJRes 54,105- 1,Cosponsor
123,John Cooksey,Republican Party,Louisiana,HJRes 54,105- 1,Cosponsor
124,William J. Tauzin,Republican Party,Louisiana,HJRes 54,105- 1,Cosponsor
125,John Baldacci,Democratic Party,Maine,HJRes 54,105- 1,Cosponsor
126,Roscoe G. Bartlett,Republican Party,Maryland,HJRes 54,105- 1,Cosponsor
127,Robert L. Ehrlich Jr.,Republican Party,Maryland,HJRes 54,105- 1,Cosponsor
128,Albert Russell Wynn,Democratic Party,Maryland,HJRes 54,105- 1,Cosponsor
129,Joseph Patrick Kennedy II,Democratic Party,Massachusetts,HJRes 54,105- 1,Cosponsor
130,William D. Delahunt,Democratic Party,Massachusetts,HJRes 54,105- 1,Cosponsor
131,James P. McGovern,Democratic Party,Massachusetts,HJRes 54,105- 1,Cosponsor
132,John Joseph Moakley,Democratic Party,Massachusetts,HJRes 54,105- 1,Cosponsor
133,James A. Barcia,Democratic Party,Michigan,HJRes 54,105- 1,Cosponsor
134,Dave Lee Camp,Republican Party,Michigan,HJRes 54,105- 1,Cosponsor
135,Joseph K. Knollenberg,Republican Party,Michigan,HJRes 54,105- 1,Cosponsor
136,Bart T. Stupak,Democratic Party,Michigan,HJRes 54,105- 1,Cosponsor
137,Dale E. Kildee,Democratic Party,Michigan,HJRes 54,105- 1,Cosponsor
138,Debbie Ann Stabenow,Democratic Party,Michigan,HJRes 54,105- 1,Cosponsor
139,Fred Stephen Upton,Republican Party,Michigan,HJRes 54,105- 1,Cosponsor
140,Nick Smith,Republican Party,Michigan,HJRes 54,105- 1,Cosponsor
141,Gilbert W. Gutknecht,Republican Party,Minnesota,HJRes 54,105- 1,Cosponsor
142,Collin Clark Peterson,Democratic Party,Minnesota,HJRes 54,105- 1,Cosponsor
143,James M. Ramstad,Republican Party,Minnesota,HJRes 54,105- 1,Cosponsor
144,William Luther,Democratic Party,Minnesota,HJRes 54,105- 1,Cosponsor
145,Michael Parker,Republican Party,Mississippi,HJRes 54,105- 1,Cosponsor
146,Charles W. Pickering Jr.,Republican Party,Mississippi,HJRes 54,105- 1,Cosponsor
147,Gene Taylor,Democratic Party,Mississippi,HJRes 54,105- 1,Cosponsor
148,Roger F. Wicker,Republican Party,Mississippi,HJRes 54,105- 1,Cosponsor
149,Bennie G. Thompson,Democratic Party,Mississippi,HJRes 54,105- 1,Cosponsor
150,Roy Blunt,Republican Party,Missouri,HJRes 54,105- 1,Cosponsor
151,Pat Danner,Democratic Party,Missouri,HJRes 54,105- 1,Cosponsor
152,Jo Ann H. Emerson,Republican Party,Missouri,HJRes 54,105- 1,Cosponsor
153,Kenny C. Hulshof,Republican Party,Missouri,HJRes 54,105- 1,Cosponsor
154,Ike Skelton,Democratic Party,Missouri,HJRes 54,105- 1,Cosponsor
155,James M. Talent,Republican Party,Missouri,HJRes 54,105- 1,Cosponsor
156,Rick Hill,Republican Party,Montana,HJRes 54,105- 1,Cosponsor
157,Bill Barrett,Republican Party,Nebraska,HJRes 54,105- 1,Cosponsor
158,Douglas K. Bereuter,Republican Party,Nebraska,HJRes 54,105- 1,Cosponsor
159,Jon Lynn Christensen,Republican Party,Nebraska,HJRes 54,105- 1,Cosponsor
160,John Eric Ensign,Republican Party,Nevada,HJRes 54,105- 1,Cosponsor
161,James A. Gibbons,Republican Party,Nevada,HJRes 54,105- 1,Cosponsor
162,Charles F. Bass,Republican Party,New Hampshire,HJRes 54,105- 1,Cosponsor
163,John E. Sununu,Republican Party,New Hampshire,HJRes 54,105- 1,Cosponsor
164,Robert E. Andrews,Democratic Party,New Jersey,HJRes 54,105- 1,Cosponsor
165,Bob Franks,Republican Party,New Jersey,HJRes 54,105- 1,Cosponsor
166,Rodney P. Frelinghuysen,Republican Party,New Jersey,HJRes 54,105- 1,Cosponsor
167,Frank A. LoBiondo,Republican Party,New Jersey,HJRes 54,105- 1,Cosponsor
168,Robert Menendez,Democratic Party,New Jersey,HJRes 54,105- 1,Cosponsor
169,Frank J. Pallone Jr.,Democratic Party,New Jersey,HJRes 54,105- 1,Cosponsor
170,Michael James Pappas,Republican Party,New Jersey,HJRes 54,105- 1,Cosponsor
171,Steven R. Rothman,Democratic Party,New Jersey,HJRes 54,105- 1,Cosponsor
172,H. James Saxton,Republican Party,New Jersey,HJRes 54,105- 1,Cosponsor
173,Christopher H. Smith,Republican Party,New Jersey,HJRes 54,105- 1,Cosponsor
174,Bill J. Pascrell Jr.,Democratic Party,New Jersey,HJRes 54,105- 1,Cosponsor
175,Marge Roukema,Republican Party,New Jersey,HJRes 54,105- 1,Cosponsor
176,Steven Harvey Schiff,Republican Party,New Mexico,HJRes 54,105- 1,Cosponsor
177,Joseph Skeen,Republican Party,New Mexico,HJRes 54,105- 1,Cosponsor
178,William Thomas Redmond,Republican Party,New Mexico,HJRes 54,105- 1,Cosponsor
179,Sherwood L. Boehlert,Republican Party,New York,HJRes 54,105- 1,Cosponsor
180,Michael P. Forbes,Republican Party,New York,HJRes 54,105- 1,Cosponsor
181,Sue W. Kelly,Republican Party,New York,HJRes 54,105- 1,Cosponsor
182,Peter T. King,Republican Party,New York,HJRes 54,105- 1,Cosponsor
183,Thomas J. Manton,Democratic Party,New York,HJRes 54,105- 1,Cosponsor
184,John M. McHugh,Republican Party,New York,HJRes 54,105- 1,Cosponsor
185,Michael R. McNulty,Democratic Party,New York,HJRes 54,105- 1,Cosponsor
186,Susan Molinari,Republican Party,New York,HJRes 54,105- 1,Cosponsor
187,L. William Paxon,Republican Party,New York,HJRes 54,105- 1,Cosponsor
188,Jack Quinn,Republican Party,New York,HJRes 54,105- 1,Cosponsor
189,Edolphus Towns,Democratic Party,New York,HJRes 54,105- 1,Cosponsor
190,James T. Walsh,Republican Party,New York,HJRes 54,105- 1,Cosponsor
191,Rick A. Lazio,Republican Party,New York,HJRes 54,105- 1,Cosponsor
192,Benjamin Gilman,Republican Party,New York,HJRes 54,105- 1,Cosponsor
193,Carolyn McCarthy,Democratic Party,New York,HJRes 54,105- 1,Cosponsor
194,Amory Houghton Jr.,Republican Party,New York,HJRes 54,105- 1,Cosponsor
195,Cass Ballenger,Republican Party,North Carolina,HJRes 54,105- 1,Cosponsor
196,Richard M. Burr,Republican Party,North Carolina,HJRes 54,105- 1,Cosponsor
197,Howard Coble,Republican Party,North Carolina,HJRes 54,105- 1,Cosponsor
198,Sue W. Myrick,Republican Party,North Carolina,HJRes 54,105- 1,Cosponsor
199,Charles H. Taylor,Republican Party,North Carolina,HJRes 54,105- 1,Cosponsor
200,Walter B. Jones Jr.,Republican Party,North Carolina,HJRes 54,105- 1,Cosponsor
201,Willie Gathrel Hefner,Democratic Party,North Carolina,HJRes 54,105- 1,Cosponsor
202,Eva Clayton,Democratic Party,North Carolina,HJRes 54,105- 1,Cosponsor
203,Bob R. Etheridge,Democratic Party,North Carolina,HJRes 54,105- 1,Cosponsor
204,Mike McIntyre,Democratic Party,North Carolina,HJRes 54,105- 1,Cosponsor
205,Earl Ralph Pomeroy,Democratic Party,North Dakota,HJRes 54,105- 1,Cosponsor
206,John A. Boehner,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
207,Steve J. Chabot,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
208,Paul E. Gillmor,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
209,Steven C. LaTourette,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
210,Robert William Ney,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
211,Michael G. Oxley,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
212,James A. Traficant Jr.,Democratic Party,Ohio,HJRes 54,105- 1,Cosponsor
213,Robert J. Portman,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
214,John R. Kasich,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
215,David Lee Hobson,Republican Party,Ohio,HJRes 54,105- 1,Cosponsor
216,Thomas A. Coburn,Republican Party,Oklahoma,HJRes 54,105- 1,Cosponsor
217,Steve Largent,Republican Party,Oklahoma,HJRes 54,105- 1,Cosponsor
218,Frank D. Lucas,Republican Party,Oklahoma,HJRes 54,105- 1,Cosponsor
219,Wes Watkins,Republican Party,Oklahoma,HJRes 54,105- 1,Cosponsor
220,J.C. Watts,Republican Party,Oklahoma,HJRes 54,105- 1,Cosponsor
221,Ernest J. Istook Jr.,Republican Party,Oklahoma,HJRes 54,105- 1,Cosponsor
222,Robert Freeman Smith,Republican Party,Oregon,HJRes 54,105- 1,Cosponsor
223,Michael F. Doyle Jr.,Democratic Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
224,Philip English,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
225,Jon D. Fox,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
226,Tim Holden,Democratic Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
227,Frank Mascara,Democratic Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
228,Joseph Michael McDade,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
229,John P. Murtha,Democratic Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
230,Joseph R. Pitts,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
231,Elmer Greinert Shuster,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
232,W. Curtis Weldon,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
233,John E. Peterson,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
234,George W. Gekas,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
235,Paul E. Kanjorski,Democratic Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
236,William F. Goodling,Republican Party,Pennsylvania,HJRes 54,105- 1,Cosponsor
237,Lindsey O. Graham,Republican Party,South Carolina,HJRes 54,105- 1,Cosponsor
238,Floyd Spence,Republican Party,South Carolina,HJRes 54,105- 1,Cosponsor
239,Bob Inglis,Republican Party,South Carolina,HJRes 54,105- 1,Cosponsor
240,James E. Clyburn,Democratic Party,South Carolina,HJRes 54,105- 1,Cosponsor
241,Marshall Sanford,Republican Party,South Carolina,HJRes 54,105- 1,Cosponsor
242,John Thune,Republican Party,South Dakota,HJRes 54,105- 1,Cosponsor
243,Ed Bryant,Republican Party,Tennessee,HJRes 54,105- 1,Cosponsor
244,Van Hilleary,Republican Party,Tennessee,HJRes 54,105- 1,Cosponsor
245,William Lewis Jenkins,Republican Party,Tennessee,HJRes 54,105- 1,Cosponsor
246,Zach Wamp,Republican Party,Tennessee,HJRes 54,105- 1,Cosponsor
247,Robert Clement,Democratic Party,Tennessee,HJRes 54,105- 1,Cosponsor
248,Bill Archer,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
249,Joe Linus Barton,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
250,Larry Combest,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
251,Thomas Dale DeLay,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
252,Thomas Edwards,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
253,Jonas Frost III,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
254,Kay Granger,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
255,Gene Eugene Green,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
256,Ralph M. Hall,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
257,Rubén E. Hinojosa,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
258,Solomon P. Ortiz,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
259,Silvestre Reyes,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
260,Max A. Sandlin Jr.,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
261,Charles W. Stenholm,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
262,James Turner,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
263,Kevin P. Brady,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
264,Pete A. Sessions,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
265,Mac M. Thornberry,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
266,Henry Bonilla,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
267,Lamar S. Smith,Republican Party,Texas,HJRes 54,105- 1,Cosponsor
268,Ciro D. Rodriguez,Democratic Party,Texas,HJRes 54,105- 1,Cosponsor
269,Christopher B. Cannon,Republican Party,Utah,HJRes 54,105- 1,Cosponsor
270,James V. Hansen,Republican Party,Utah,HJRes 54,105- 1,Cosponsor
271,Merrill Cook,Republican Party,Utah,HJRes 54,105- 1,Cosponsor
272,Herbert H. Bateman,Republican Party,Virginia,HJRes 54,105- 1,Cosponsor
273,Tom Bliley,Republican Party,Virginia,HJRes 54,105- 1,Cosponsor
274,Thomas M. Davis III,Republican Party,Virginia,HJRes 54,105- 1,Cosponsor
275,Virgil H. Goode Jr.,Democratic Party,Virginia,HJRes 54,105- 1,Cosponsor
276,Bob W. Goodlatte,Republican Party,Virginia,HJRes 54,105- 1,Cosponsor
277,Owen B. Pickett,Democratic Party,Virginia,HJRes 54,105- 1,Cosponsor
278,Norman Sisisky,Democratic Party,Virginia,HJRes 54,105- 1,Cosponsor
279,Frank R. Wolf,Republican Party,Virginia,HJRes 54,105- 1,Cosponsor
280,James P. Moran Jr.,Democratic Party,Virginia,HJRes 54,105- 1,Cosponsor
281,Doc Hastings,Republican Party,Washington,HJRes 54,105- 1,Cosponsor
282,Jack Metcalf,Republican Party,Washington,HJRes 54,105- 1,Cosponsor
283,George R. Nethercutt Jr.,Republican Party,Washington,HJRes 54,105- 1,Cosponsor
284,Linda Smith,Republican Party,Washington,HJRes 54,105- 1,Cosponsor
285,Jennifer B. Dunn,Republican Party,Washington,HJRes 54,105- 1,Cosponsor
286,Nick J. Rahall II,Democratic Party,West Virginia,HJRes 54,105- 1,Cosponsor
287,Robert E. Wise Jr.,Democratic Party,West Virginia,HJRes 54,105- 1,Cosponsor
288,Alan B. Mollohan,Democratic Party,West Virginia,HJRes 54,105- 1,Cosponsor
289,Mark W. Neumann,Republican Party,Wisconsin,HJRes 54,105- 1,Cosponsor
290,F. James Sensenbrenner Jr.,Republican Party,Wisconsin,HJRes 54,105- 1,Cosponsor
291,Scott L. Klug,Republican Party,Wisconsin,HJRes 54,105- 1,Cosponsor
292,Barbara L. Cubin,Republican Party,Wyoming,HJRes 54,105- 1,Cosponsor
293,Wayne T. Gilchrest,Republican Party,Maryland,HJRes 249,103- 1,Primary
294,H. L. Callahan,Republican Party,Alabama,HJRes 249,103- 1,Cosponsor
295,Terry Everett,Republican Party,Alabama,HJRes 249,103- 1,Cosponsor
296,Spencer Thomas Bachus III,Republican Party,Alabama,HJRes 249,103- 1,Cosponsor
297,Don E. Young,Republican Party,Alaska,HJRes 249,103- 1,Cosponsor
298,Robert Stump,Republican Party,Arizona,HJRes 249,103- 1,Cosponsor
299,Tim Hutchinson,Republican Party,Arkansas,HJRes 249,103- 1,Cosponsor
300,Randall H. Cunningham,Republican Party,California,HJRes 249,103- 1,Cosponsor
301,Robert Kenneth Dornan,Republican Party,California,HJRes 249,103- 1,Cosponsor
302,Jerry Lewis,Republican Party,California,HJRes 249,103- 1,Cosponsor
303,Carlos John Moorhead,Republican Party,California,HJRes 249,103- 1,Cosponsor
304,Ron Packard,Republican Party,California,HJRes 249,103- 1,Cosponsor
305,Howard P. McKeon,Republican Party,California,HJRes 249,103- 1,Cosponsor
306,Wayne A. Allard,Republican Party,Colorado,HJRes 249,103- 1,Cosponsor
307,Joel Hefley,Republican Party,Colorado,HJRes 249,103- 1,Cosponsor
308,Scott McInnis,Republican Party,Colorado,HJRes 249,103- 1,Cosponsor
309,Daniel Schaefer,Republican Party,Colorado,HJRes 249,103- 1,Cosponsor
310,Gary A. Franks,Republican Party,Connecticut,HJRes 249,103- 1,Cosponsor
311,Nancy Lee Johnson,Republican Party,Connecticut,HJRes 249,103- 1,Cosponsor
312,Michael Bilirakis,Republican Party,Florida,HJRes 249,103- 1,Cosponsor
313,Porter J. Goss,Republican Party,Florida,HJRes 249,103- 1,Cosponsor
314,Thomas F. Lewis,Republican Party,Florida,HJRes 249,103- 1,Cosponsor
315,Newton Leroy Gingrich,Republican Party,Georgia,HJRes 249,103- 1,Cosponsor
316,Jack Kingston,Republican Party,Georgia,HJRes 249,103- 1,Cosponsor
317,Thomas W. Ewing,Republican Party,Illinois,HJRes 249,103- 1,Cosponsor
318,J. Dennis Hastert,Republican Party,Illinois,HJRes 249,103- 1,Cosponsor
319,Henry John Hyde,Republican Party,Illinois,HJRes 249,103- 1,Cosponsor
320,John Edward Porter,Republican Party,Illinois,HJRes 249,103- 1,Cosponsor
321,Harris W. Fawell,Republican Party,Illinois,HJRes 249,103- 1,Cosponsor
322,James Ross Lightfoot,Republican Party,Iowa,HJRes 249,103- 1,Cosponsor
323,Jan Meyers,Republican Party,Kansas,HJRes 249,103- 1,Cosponsor
324,Pat Roberts,Republican Party,Kansas,HJRes 249,103- 1,Cosponsor
325,Jim Bunning,Republican Party,Kentucky,HJRes 249,103- 1,Cosponsor
326,Harold Rogers,Republican Party,Kentucky,HJRes 249,103- 1,Cosponsor
327,James Allison Hayes,Democratic Party,Louisiana,HJRes 249,103- 1,Cosponsor
328,Robert Linligthgow Livingston Jr.,Republican Party,Louisiana,HJRes 249,103- 1,Cosponsor
329,James O. McCrery III,Republican Party,Louisiana,HJRes 249,103- 1,Cosponsor
330,Roscoe G. Bartlett,Republican Party,Maryland,HJRes 249,103- 1,Cosponsor
331,Helen Delich Bentley,Republican Party,Maryland,HJRes 249,103- 1,Cosponsor
