,Name,Party,State,Bill:,Congress-Session:,Category
0,Ronald E. Paul,Republican Party,Texas,HJRes 15,108- 1,Primary
1,Jeff Flake,Republican Party,Arizona,HJRes 15,108- 1,Cosponsor
2,John Nathan Hostettler,Republican Party,Indiana,HJRes 15,108- 1,Cosponsor
3,Jim W. DeMint,Republican Party,South Carolina,SJRes 16,111- 1,Primary
4,James Risch,Republican Party,Idaho,SJRes 16,111- 1,Cosponsor
5,Charles E. Grassley,Republican Party,Iowa,SJRes 16,111- 1,Cosponsor
6,David Vitter,Republican Party,Louisiana,SJRes 16,111- 1,Cosponsor
7,Thomas A. Coburn,Republican Party,Oklahoma,SJRes 16,111- 1,Cosponsor
8,James M. Inhofe,Republican Party,Oklahoma,SJRes 16,111- 1,Cosponsor
9,Lindsey O. Graham,Republican Party,South Carolina,SJRes 16,111- 1,Cosponsor
10,Peter A. DeFazio,Democratic Party,Oregon,HJRes 109,115- 1,Primary
11,Gerald Brooks Hunt Solomon,Republican Party,New York,HJRes 54,105- 1,Primary
12,Spencer Thomas Bachus III,Republican Party,Alabama,HJRes 54,105- 1,Cosponsor
13,H. L. Callahan,Republican Party,Alabama,HJRes 54,105- 1,Cosponsor
14,Robert E. Cramer Jr.,Democratic Party,Alabama,HJRes 54,105- 1,Cosponsor
15,Terry Everett,Republican Party,Alabama,HJRes 54,105- 1,Cosponsor
16,Bob Riley,Republican Party,Alabama,HJRes 54,105- 1,Cosponsor
17,Robert B. Aderholt,Republican Party,Alabama,HJRes 54,105- 1,Cosponsor
18,Earl F. Hilliard,Democratic Party,Alabama,HJRes 54,105- 1,Cosponsor
19,Don E. Young,Republican Party,Alaska,HJRes 54,105- 1,Cosponsor
20,John D. Hayworth Jr.,Republican Party,Arizona,HJRes 54,105- 1,Cosponsor
21,Robert Stump,Republican Party,Arizona,HJRes 54,105- 1,Cosponsor
22,Matt Salmon,Republican Party,Arizona,HJRes 54,105- 1,Cosponsor
23,Jay Dickey,Republican Party,Arkansas,HJRes 54,105- 1,Cosponsor
24,Asa Hutchinson,Republican Party,Arkansas,HJRes 54,105- 1,Cosponsor
25,Robert Marion Berry,Democratic Party,Arkansas,HJRes 54,105- 1,Cosponsor
26,Brian P. Bilbray,Republican Party,California,HJRes 54,105- 1,Cosponsor
27,Sonny Bono,Republican Party,California,HJRes 54,105- 1,Cosponsor
28,C. Christopher Cox,Republican Party,California,HJRes 54,105- 1,Cosponsor
29,Randall H. Cunningham,Republican Party,California,HJRes 54,105- 1,Cosponsor
30,Calvin M. Dooley,Democratic Party,California,HJRes 54,105- 1,Cosponsor
31,Elton W. Gallegly,Republican Party,California,HJRes 54,105- 1,Cosponsor
32,Walter Herger,Republican Party,California,HJRes 54,105- 1,Cosponsor
33,Stephen Horn,Republican Party,California,HJRes 54,105- 1,Cosponsor
34,Duncan L. Hunter,Republican Party,California,HJRes 54,105- 1,Cosponsor
35,Jay Kim,Republican Party,California,HJRes 54,105- 1,Cosponsor
36,Matthew G. Martínez,Democratic Party,California,HJRes 54,105- 1,Cosponsor
37,Howard P. McKeon,Republican Party,California,HJRes 54,105- 1,Cosponsor
38,Ron Packard,Republican Party,California,HJRes 54,105- 1,Cosponsor
39,George P. Radanovich,Republican Party,California,HJRes 54,105- 1,Cosponsor
40,Frank D. Riggs,Republican Party,California,HJRes 54,105- 1,Cosponsor
41,James E. Rogan,Republican Party,California,HJRes 54,105- 1,Cosponsor
42,Edward R. Royce,Republican Party,California,HJRes 54,105- 1,Cosponsor
43,William M. Thomas,Republican Party,California,HJRes 54,105- 1,Cosponsor
44,Ken S. Calvert,Republican Party,California,HJRes 54,105- 1,Cosponsor
45,Jerry Lewis,Republican Party,California,HJRes 54,105- 1,Cosponsor
46,John T. Doolittle,Republican Party,California,HJRes 54,105- 1,Cosponsor
47,Gary Condit,Democratic Party,California,HJRes 54,105- 1,Cosponsor
48,Jane Harman,Democratic Party,California,HJRes 54,105- 1,Cosponsor
49,Richard W. Pombo,Republican Party,California,HJRes 54,105- 1,Cosponsor
50,Tom Campbell,Republican Party,California,HJRes 54,105- 1,Cosponsor
51,Joel Hefley,Republican Party,Colorado,HJRes 54,105- 1,Cosponsor
52,Scott McInnis,Republican Party,Colorado,HJRes 54,105- 1,Cosponsor
53,Daniel Schaefer,Republican Party,Colorado,HJRes 54,105- 1,Cosponsor
54,Bob Schaffer,Republican Party,Colorado,HJRes 54,105- 1,Cosponsor
55,Barbara Bailey Kennelly,Democratic Party,Connecticut,HJRes 54,105- 1,Cosponsor
56,James Maloney,Democratic Party,Connecticut,HJRes 54,105- 1,Cosponsor
57,Nancy Lee Johnson,Republican Party,Connecticut,HJRes 54,105- 1,Cosponsor
58,Michael N. Castle,Republican Party,Delaware,HJRes 54,105- 1,Cosponsor
59,Michael Bilirakis,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
60,Charles T. Canady,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
61,Lincoln Diaz-Balart,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
62,Mark Adam Foley,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
63,Tillie K. Fowler,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
64,Porter J. Goss,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
65,Bill McCollum,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
66,Clifford B. Stearns,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
67,Karen Thurman,Democratic Party,Florida,HJRes 54,105- 1,Cosponsor
68,David J. Weldon Jr.,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
69,C. W. Bill Young,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
70,Dan Miller,Republican Party,Florida,HJRes 54,105- 1,Cosponsor
