,Name,Party,State,Bill:,Congress-Session:,Category
0,Robert Joseph Dole,Republican Party,Kansas,SJRes 1,104- 1,Primary
1,Howell Thomas Heflin,Democratic Party,Alabama,SJRes 1,104- 1,Cosponsor
2,Richard C. Shelby,Republican Party,Alabama,SJRes 1,104- 1,Cosponsor
3,Frank H. Murkowski,Republican Party,Alaska,SJRes 1,104- 1,Cosponsor
4,Jon Kyl,Republican Party,Arizona,SJRes 1,104- 1,Cosponsor
5,Dianne Feinstein,Democratic Party,California,SJRes 1,104- 1,Cosponsor
6,George Hanks Brown,Republican Party,Colorado,SJRes 1,104- 1,Cosponsor
7,Ben Nighthorse Campbell,Republican Party,Colorado,SJRes 1,104- 1,Cosponsor
8,William V. Roth Jr.,Republican Party,Delaware,SJRes 1,104- 1,Cosponsor
9,Connie Mack III,Republican Party,Florida,SJRes 1,104- 1,Cosponsor
10,Paul D. Coverdell,Republican Party,Georgia,SJRes 1,104- 1,Cosponsor
11,Larry E. Craig,Republican Party,Idaho,SJRes 1,104- 1,Cosponsor
12,Carol Moseley Braun,Democratic Party,Illinois,SJRes 1,104- 1,Cosponsor
13,Paul Martin Simon,Democratic Party,Illinois,SJRes 1,104- 1,Cosponsor
14,Richard G. Lugar,Republican Party,Indiana,SJRes 1,104- 1,Cosponsor
15,Charles E. Grassley,Republican Party,Iowa,SJRes 1,104- 1,Cosponsor
16,Mitch McConnell,Republican Party,Kentucky,SJRes 1,104- 1,Cosponsor
17,William Sebastian Cohen,Republican Party,Maine,SJRes 1,104- 1,Cosponsor
18,Olympia J. Snowe,Republican Party,Maine,SJRes 1,104- 1,Cosponsor
19,Rod Grams,Republican Party,Minnesota,SJRes 1,104- 1,Cosponsor
20,Trent Lott,Republican Party,Mississippi,SJRes 1,104- 1,Cosponsor
21,John Ashcroft,Republican Party,Missouri,SJRes 1,104- 1,Cosponsor
22,Christopher S. Bond,Republican Party,Missouri,SJRes 1,104- 1,Cosponsor
23,Conrad Burns,Republican Party,Montana,SJRes 1,104- 1,Cosponsor
24,J. James Exon,Democratic Party,Nebraska,SJRes 1,104- 1,Cosponsor
25,Richard H. Bryan,Democratic Party,Nevada,SJRes 1,104- 1,Cosponsor
26,Judd A. Gregg,Republican Party,New Hampshire,SJRes 1,104- 1,Cosponsor
27,Robert Smith,Republican Party,New Hampshire,SJRes 1,104- 1,Cosponsor
28,Pete V. Domenici,Republican Party,New Mexico,SJRes 1,104- 1,Cosponsor
29,Jesse Helms,Republican Party,North Carolina,SJRes 1,104- 1,Cosponsor
30,Michael DeWine,Republican Party,Ohio,SJRes 1,104- 1,Cosponsor
31,James M. Inhofe,Republican Party,Oklahoma,SJRes 1,104- 1,Cosponsor
32,Don Nickles,Republican Party,Oklahoma,SJRes 1,104- 1,Cosponsor
33,Richard J. Santorum,Republican Party,Pennsylvania,SJRes 1,104- 1,Cosponsor
34,Arlen Specter,Republican Party,Pennsylvania,SJRes 1,104- 1,Cosponsor
35,J. Strom Thurmond,Republican Party,South Carolina,SJRes 1,104- 1,Cosponsor
36,Larry Lee Pressler,Republican Party,South Dakota,SJRes 1,104- 1,Cosponsor
37,Fred Thompson,Republican Party,Tennessee,SJRes 1,104- 1,Cosponsor
38,William H. Frist,Republican Party,Tennessee,SJRes 1,104- 1,Cosponsor
39,Phil Gramm,Republican Party,Texas,SJRes 1,104- 1,Cosponsor
40,Kay Bailey Hutchison,Republican Party,Texas,SJRes 1,104- 1,Cosponsor
41,Orrin G. Hatch,Republican Party,Utah,SJRes 1,104- 1,Cosponsor
42,John W. Warner,Republican Party,Virginia,SJRes 1,104- 1,Cosponsor
43,T. Slade Gorton,Republican Party,Washington,SJRes 1,104- 1,Cosponsor
44,Herbert H. Kohl,Democratic Party,Wisconsin,SJRes 1,104- 1,Cosponsor
45,Alan Kooi Simpson,Republican Party,Wyoming,SJRes 1,104- 1,Cosponsor
46,Craig Thomas,Republican Party,Wyoming,SJRes 1,104- 1,Cosponsor
47,Bill McCollum,Republican Party,Florida,HJRes 37,103- 1,Primary
48,Jon Kyl,Republican Party,Arizona,HJRes 37,103- 1,Cosponsor
49,Ken S. Calvert,Republican Party,California,HJRes 37,103- 1,Cosponsor
50,Ron Packard,Republican Party,California,HJRes 37,103- 1,Cosponsor
51,Richard W. Pombo,Republican Party,California,HJRes 37,103- 1,Cosponsor
52,Dana T. Rohrabacher,Republican Party,California,HJRes 37,103- 1,Cosponsor
