,Name,Party,State,Bill:,Congress-Session:,Category
0,James M. Talent,Republican Party,Missouri,HJRes 167,104- 2,Primary
1,Ken S. Calvert,Republican Party,California,HJRes 167,104- 2,Cosponsor
2,William O. Lipinski,Democratic Party,Illinois,HJRes 167,104- 2,Cosponsor
3,Melton D. Hancock,Republican Party,Missouri,HJRes 167,104- 2,Cosponsor
4,Martin R. Hoke,Republican Party,Ohio,HJRes 167,104- 2,Cosponsor
5,Tom McClintock,Republican Party,California,HJRes 12,115- 1,Primary
6,Bruce Westerman,Republican Party,Arkansas,HJRes 12,115- 1,Cosponsor
7,Joe G. Wilson,Republican Party,South Carolina,HJRes 12,115- 1,Cosponsor
8,Jeff Duncan,Republican Party,South Carolina,HJRes 12,115- 1,Cosponsor
9,Glenn Grothman,Republican Party,Wisconsin,HJRes 12,115- 1,Cosponsor
10,Donna M. Christensen,Democratic Party,Virgin Islands,HJRes 7,113- 1,Primary
11,Madeleine Z. Bordallo,Democratic Party,Guam,HJRes 7,113- 1,Cosponsor
12,Ted F. Stevens,Republican Party,Alaska,SJRes 233,91- 2,Primary
13,Stephen Columbus Millard,Republican Party,New York,HRes 299,48- 2,Primary
14,Warren Davidson,Republican Party,Ohio,HJRes 106,115- 1,Primary
15,Mo Brooks,Republican Party,Alabama,HJRes 106,115- 1,Cosponsor
16,Doug Lamborn,Republican Party,Colorado,HJRes 106,115- 1,Cosponsor
17,Steve A. King,Republican Party,Iowa,HJRes 106,115- 1,Cosponsor
18,Collin Clark Peterson,Democratic Party,Minnesota,HJRes 115,105- 2,Primary
19,David T. Dreier,Republican Party,California,HJRes 51,105- 1,Primary
20,William Orton,Democratic Party,Utah,HJRes 37,104- 1,Primary
21,Virginia Dodd Smith,Republican Party,Nebraska,HJRes 23,101- 1,Primary
22,"Itimous Thaddeus, Jr., Valentine",Democratic Party,North Carolina,HJRes 23,101- 1,Cosponsor
23,Tom McClintock,Republican Party,California,HJRes 18,114- 1,Primary
24,Thomas Jefferson Clunie,Democratic Party,California,HRes 74,51- 1,Primary
25,Binger Hermann,Republican Party,Oregon,HRes 239,49- 2,Primary
26,Donna M. Christensen,Democratic Party,Virgin Islands,HJRes 101,108- 2,Primary
27,Eni F. H. Faleomavaega,Democratic Party,American Samoa,HJRes 101,108- 2,Cosponsor
