,Name,Party,State,Bill:,Congress-Session:,Category
28,Madeleine Z. Bordallo,Democratic Party,Guam,HJRes 101,108- 2,Cosponsor
29,Jesse Louis Jackson Jr.,Democratic Party,Illinois,HJRes 95,106- 2,Primary
30,Norvell William Emerson,Republican Party,Missouri,HJRes 48,101- 1,Primary
31,James M. Inhofe,Republican Party,Oklahoma,HJRes 48,101- 1,Cosponsor
32,Jesse Louis Jackson Jr.,Democratic Party,Illinois,HJRes 29,111- 1,Primary
33,David Vitter,Republican Party,Louisiana,SJRes 6,111- 1,Primary
34,Earl Thomas Coleman,Republican Party,Missouri,HJRes 96,101- 1,Primary
35,Binger Hermann,Republican Party,Oregon,HRes 27,50- 1,Primary
36,Michelle Louise Helene Fischbach,Republican Party,Minnesota,HRes 351,117- 1,Primary
37,David Vitter,Republican Party,Louisiana,SJRes 4,113- 1,Primary
38,Rand Paul,Republican Party,Kentucky,SJRes 4,113- 1,Cosponsor
39,John Conyers Jr.,Democratic Party,Michigan,HJRes 2,109- 1,Primary
40,Brad J. Sherman,Democratic Party,California,HJRes 2,109- 1,Cosponsor
41,Robert Joseph Dole,Republican Party,Kansas,SJRES 180,101- 1,Primary
42,Howell Thomas Heflin,Democratic Party,Alabama,SJRES 180,101- 1,Cosponsor
43,Richard C. Shelby,Democratic Party,Alabama,SJRES 180,101- 1,Cosponsor
44,Frank H. Murkowski,Republican Party,Alaska,SJRES 180,101- 1,Cosponsor
45,Ted F. Stevens,Republican Party,Alaska,SJRES 180,101- 1,Cosponsor
46,Dennis Webster DeConcini,Democratic Party,Arizona,SJRES 180,101- 1,Cosponsor
47,John S. McCain,Republican Party,Arizona,SJRES 180,101- 1,Cosponsor
48,Pete Wilson,Republican Party,California,SJRES 180,101- 1,Cosponsor
49,William Lester Armstrong,Republican Party,Colorado,SJRES 180,101- 1,Cosponsor
50,William V. Roth Jr.,Republican Party,Delaware,SJRES 180,101- 1,Cosponsor
51,Connie Mack III,Republican Party,Florida,SJRES 180,101- 1,Cosponsor
52,Samuel Augustus Nunn,Democratic Party,Georgia,SJRES 180,101- 1,Cosponsor
53,James Albertus McClure,Republican Party,Idaho,SJRES 180,101- 1,Cosponsor
54,Steven Douglas Symms,Republican Party,Idaho,SJRES 180,101- 1,Cosponsor
55,Alan John Dixon,Democratic Party,Illinois,SJRES 180,101- 1,Cosponsor
56,Daniel Ray Coats,Republican Party,Indiana,SJRES 180,101- 1,Cosponsor
57,Charles E. Grassley,Republican Party,Iowa,SJRES 180,101- 1,Cosponsor
58,Charles E. Grassley,Republican Party,Iowa,SJRES 180,101- 1,Cosponsor
59,Nancy Landon Kassebaum,Republican Party,Kansas,SJRES 180,101- 1,Cosponsor
60,Wendell Hampton Ford,Democratic Party,Kentucky,SJRES 180,101- 1,Cosponsor
61,Mitch McConnell,Republican Party,Kentucky,SJRES 180,101- 1,Cosponsor
62,John B. Breaux,Democratic Party,Louisiana,SJRES 180,101- 1,Cosponsor
63,John Bennett Johnston Jr.,Democratic Party,Louisiana,SJRES 180,101- 1,Cosponsor
64,William Sebastian Cohen,Republican Party,Maine,SJRES 180,101- 1,Cosponsor
65,Rudolph Eli Boschwitz,Republican Party,Minnesota,SJRES 180,101- 1,Cosponsor
66,Thad Cochran,Republican Party,Mississippi,SJRES 180,101- 1,Cosponsor
67,Trent Lott,Republican Party,Mississippi,SJRES 180,101- 1,Cosponsor
68,Christopher S. Bond,Republican Party,Missouri,SJRES 180,101- 1,Cosponsor
69,John Claggett Danforth,Republican Party,Missouri,SJRES 180,101- 1,Cosponsor
70,Conrad Burns,Republican Party,Montana,SJRES 180,101- 1,Cosponsor
71,J. James Exon,Democratic Party,Nebraska,SJRES 180,101- 1,Cosponsor
72,Richard H. Bryan,Democratic Party,Nevada,SJRES 180,101- 1,Cosponsor
73,Harry M. Reid,Democratic Party,Nevada,SJRES 180,101- 1,Cosponsor
74,Warren Bruce Rudman,Republican Party,New Hampshire,SJRES 180,101- 1,Cosponsor
75,Pete V. Domenici,Republican Party,New Mexico,SJRES 180,101- 1,Cosponsor
76,Alfonse Marcello D’Amato,Republican Party,New York,SJRES 180,101- 1,Cosponsor
77,Jesse Helms,Republican Party,North Carolina,SJRES 180,101- 1,Cosponsor
78,Quentin Northrup Burdick,Democratic Party,North Dakota,SJRES 180,101- 1,Cosponsor
79,Don Nickles,Republican Party,Oklahoma,SJRES 180,101- 1,Cosponsor
80,Henry John Heinz III,Republican Party,Pennsylvania,SJRES 180,101- 1,Cosponsor
81,J. Strom Thurmond,Republican Party,South Carolina,SJRES 180,101- 1,Cosponsor
82,Ernest F. Hollings,Democratic Party,South Carolina,SJRES 180,101- 1,Cosponsor
83,Larry Lee Pressler,Republican Party,South Dakota,SJRES 180,101- 1,Cosponsor
84,Lloyd Millard Bentsen Jr.,Democratic Party,Texas,SJRES 180,101- 1,Cosponsor
85,Phil Gramm,Republican Party,Texas,SJRES 180,101- 1,Cosponsor
86,Orrin G. Hatch,Republican Party,Utah,SJRES 180,101- 1,Cosponsor
87,Edwin Jacob Garn,Republican Party,Utah,SJRES 180,101- 1,Cosponsor
88,Charles S. Robb,Democratic Party,Virginia,SJRES 180,101- 1,Cosponsor
89,John W. Warner,Republican Party,Virginia,SJRES 180,101- 1,Cosponsor
90,T. Slade Gorton,Republican Party,Washington,SJRES 180,101- 1,Cosponsor
91,Robert C. Byrd,Democratic Party,West Virginia,SJRES 180,101- 1,Cosponsor
92,John D. Rockefeller IV,Democratic Party,West Virginia,SJRES 180,101- 1,Cosponsor
93,Robert Walter Kasten Jr.,Republican Party,Wisconsin,SJRES 180,101- 1,Cosponsor
94,Alan Kooi Simpson,Republican Party,Wyoming,SJRES 180,101- 1,Cosponsor
95,Malcolm Wallop,Republican Party,Wyoming,SJRES 180,101- 1,Cosponsor
96,Morris Sheppard,Democratic Party,Texas,SJRes 55,64- 2,Primary
97,Thomas G. Tancredo,Republican Party,Colorado,HJRes 43,109- 1,Primary
98,Roscoe G. Bartlett,Republican Party,Maryland,HJRes 43,109- 1,Cosponsor
99,Walter B. Jones Jr.,Republican Party,North Carolina,HJRes 43,109- 1,Cosponsor
100,Virgil H. Goode Jr.,Republican Party,Virginia,HJRes 43,109- 1,Cosponsor
101,Jesse Louis Jackson Jr.,Democratic Party,Illinois,HJRes 29,108- 1,Primary
102,Barbara Lee,Democratic Party,California,HJRes 29,108- 1,Cosponsor
103,Juanita Millender-McDonald,Democratic Party,California,HJRes 29,108- 1,Cosponsor
104,Diane E. Watson,Democratic Party,California,HJRes 29,108- 1,Cosponsor
105,Bob Filner,Democratic Party,California,HJRes 29,108- 1,Cosponsor
106,Maxine Waters,Democratic Party,California,HJRes 29,108- 1,Cosponsor
107,Alcee L. Hastings,Democratic Party,Florida,HJRes 29,108- 1,Cosponsor
108,Kendrick Brett Meek,Democratic Party,Florida,HJRes 29,108- 1,Cosponsor
109,John R. Lewis,Democratic Party,Georgia,HJRes 29,108- 1,Cosponsor
110,Sanford D. Bishop Jr.,Democratic Party,Georgia,HJRes 29,108- 1,Cosponsor
111,Danny K. Davis,Democratic Party,Illinois,HJRes 29,108- 1,Cosponsor
112,Bobby L. Rush,Democratic Party,Illinois,HJRes 29,108- 1,Cosponsor
113,Luis V. Gutiérrez,Democratic Party,Illinois,HJRes 29,108- 1,Cosponsor
114,Julia M. Carson,Democratic Party,Indiana,HJRes 29,108- 1,Cosponsor
115,William J. Jefferson,Democratic Party,Louisiana,HJRes 29,108- 1,Cosponsor
116,Elijah E. Cummings,Democratic Party,Maryland,HJRes 29,108- 1,Cosponsor
117,John Conyers Jr.,Democratic Party,Michigan,HJRes 29,108- 1,Cosponsor
118,Carolyn Cheeks Kilpatrick,Democratic Party,Michigan,HJRes 29,108- 1,Cosponsor
119,Bennie G. Thompson,Democratic Party,Mississippi,HJRes 29,108- 1,Cosponsor
120,Wm. Lacy Clay Jr.,Democratic Party,Missouri,HJRes 29,108- 1,Cosponsor
121,Donald M. Payne,Democratic Party,New Jersey,HJRes 29,108- 1,Cosponsor
122,Maurice D. Hinchey,Democratic Party,New York,HJRes 29,108- 1,Cosponsor
123,Major R. Owens,Democratic Party,New York,HJRes 29,108- 1,Cosponsor
124,Edolphus Towns,Democratic Party,New York,HJRes 29,108- 1,Cosponsor
125,Melvin L. Watt,Democratic Party,North Carolina,HJRes 29,108- 1,Cosponsor
126,Stephanie Tubbs Jones,Democratic Party,Ohio,HJRes 29,108- 1,Cosponsor
127,Dennis J. Kucinich,Democratic Party,Ohio,HJRes 29,108- 1,Cosponsor
128,Tim J. Ryan,Democratic Party,Ohio,HJRes 29,108- 1,Cosponsor
129,Chaka Fattah,Democratic Party,Pennsylvania,HJRes 29,108- 1,Cosponsor
130,Patrick Joseph Kennedy,Democratic Party,Rhode Island,HJRes 29,108- 1,Cosponsor
131,James E. Clyburn,Democratic Party,South Carolina,HJRes 29,108- 1,Cosponsor
132,Harold E. Ford Jr.,Democratic Party,Tennessee,HJRes 29,108- 1,Cosponsor
133,Sheila Jackson Lee,Democratic Party,Texas,HJRes 29,108- 1,Cosponsor
134,Donna M. Christensen,Democratic Party,Virgin Islands,HJRes 29,108- 1,Cosponsor
135,Robert C. Scott,Democratic Party,Virginia,HJRes 29,108- 1,Cosponsor
136,Eleanor Holmes Norton,Democratic Party,the District of Columbia,HJRes 29,108- 1,Cosponsor
137,Robert Kenneth Dornan,Republican Party,California,HJRes 200,103- 1,Primary
138,Christopher H. Smith,Republican Party,New Jersey,HJRes 336,101- 1,Primary
139,Clyde Cecil Holloway,Republican Party,Louisiana,HJRes 336,101- 1,Cosponsor
140,Norvell William Emerson,Republican Party,Missouri,HJRes 336,101- 1,Cosponsor
141,Frank R. Wolf,Republican Party,Virginia,HJRes 336,101- 1,Cosponsor
142,Ralph M. Hall,Democratic Party,Texas,HJRes 127,105- 2,Primary
143,Gene Taylor,Democratic Party,Mississippi,HJRes 127,105- 2,Cosponsor
144,Candice S. Miller,Republican Party,Michigan,HJRes 11,111- 1,Primary
145,Mike Rogers,Republican Party,Alabama,HJRes 11,111- 1,Cosponsor
146,John Boozman,Republican Party,Arkansas,HJRes 11,111- 1,Cosponsor
147,Brian P. Bilbray,Republican Party,California,HJRes 11,111- 1,Cosponsor
148,Phil Gingrey,Republican Party,Georgia,HJRes 11,111- 1,Cosponsor
149,Donald A. Manzullo,Republican Party,Illinois,HJRes 11,111- 1,Cosponsor
150,Steve A. King,Republican Party,Iowa,HJRes 11,111- 1,Cosponsor
151,Vernon J. Ehlers,Republican Party,Michigan,HJRes 11,111- 1,Cosponsor
152,Fred Stephen Upton,Republican Party,Michigan,HJRes 11,111- 1,Cosponsor
153,Peter Hoekstra,Republican Party,Michigan,HJRes 11,111- 1,Cosponsor
154,Thaddeus G. McCotter,Republican Party,Michigan,HJRes 11,111- 1,Cosponsor
155,Erik Paulsen,Republican Party,Minnesota,HJRes 11,111- 1,Cosponsor
156,Jo Ann H. Emerson,Republican Party,Missouri,HJRes 11,111- 1,Cosponsor
157,Sue W. Myrick,Republican Party,North Carolina,HJRes 11,111- 1,Cosponsor
158,Jim Jordan,Republican Party,Ohio,HJRes 11,111- 1,Cosponsor
159,Michael R. Turner,Republican Party,Ohio,HJRes 11,111- 1,Cosponsor
160,Charles W. Dent,Republican Party,Pennsylvania,HJRes 11,111- 1,Cosponsor
161,Joseph R. Pitts,Republican Party,Pennsylvania,HJRes 11,111- 1,Cosponsor
162,Marsha W. Blackburn,Republican Party,Tennessee,HJRes 11,111- 1,Cosponsor
163,J. Randy Forbes,Republican Party,Virginia,HJRes 11,111- 1,Cosponsor
164,Jesse Louis Jackson Jr.,Democratic Party,Illinois,HJRes 30,112- 1,Primary
165,Raúl M. Grijalva,Democratic Party,Arizona,HJRes 30,112- 1,Cosponsor
166,Karen Bass,Democratic Party,California,HJRes 30,112- 1,Cosponsor
167,Barbara Lee,Democratic Party,California,HJRes 30,112- 1,Cosponsor
168,Bob Filner,Democratic Party,California,HJRes 30,112- 1,Cosponsor
169,Corrine Brown,Democratic Party,Florida,HJRes 30,112- 1,Cosponsor
170,David Scott,Democratic Party,Georgia,HJRes 30,112- 1,Cosponsor
171,John R. Lewis,Democratic Party,Georgia,HJRes 30,112- 1,Cosponsor
172,Henry C. Johnson Jr.,Democratic Party,Georgia,HJRes 30,112- 1,Cosponsor
173,Bobby L. Rush,Democratic Party,Illinois,HJRes 30,112- 1,Cosponsor
174,Danny K. Davis,Democratic Party,Illinois,HJRes 30,112- 1,Cosponsor
175,André Carson,Democratic Party,Indiana,HJRes 30,112- 1,Cosponsor
176,Elijah E. Cummings,Democratic Party,Maryland,HJRes 30,112- 1,Cosponsor
177,John Conyers Jr.,Democratic Party,Michigan,HJRes 30,112- 1,Cosponsor
178,Keith Maurice Ellison,Democratic Party,Minnesota,HJRes 30,112- 1,Cosponsor
179,Bennie G. Thompson,Democratic Party,Mississippi,HJRes 30,112- 1,Cosponsor
180,Wm. Lacy Clay Jr.,Democratic Party,Missouri,HJRes 30,112- 1,Cosponsor
181,Emanuel Cleaver II,Democratic Party,Missouri,HJRes 30,112- 1,Cosponsor
182,Donald M. Payne,Democratic Party,New Jersey,HJRes 30,112- 1,Cosponsor
183,Carolyn B. Maloney,Democratic Party,New York,HJRes 30,112- 1,Cosponsor
184,Charles B. Rangel,Democratic Party,New York,HJRes 30,112- 1,Cosponsor
185,Edolphus Towns,Democratic Party,New York,HJRes 30,112- 1,Cosponsor
186,Melvin L. Watt,Democratic Party,North Carolina,HJRes 30,112- 1,Cosponsor
187,George Kenneth Butterfield Jr.,Democratic Party,North Carolina,HJRes 30,112- 1,Cosponsor
188,Marcia L. Fudge,Democratic Party,Ohio,HJRes 30,112- 1,Cosponsor
189,Dennis J. Kucinich,Democratic Party,Ohio,HJRes 30,112- 1,Cosponsor
190,Marcy Kaptur,Democratic Party,Ohio,HJRes 30,112- 1,Cosponsor
191,Chaka Fattah,Democratic Party,Pennsylvania,HJRes 30,112- 1,Cosponsor
192,James E. Clyburn,Democratic Party,South Carolina,HJRes 30,112- 1,Cosponsor
193,Sheila Jackson Lee,Democratic Party,Texas,HJRes 30,112- 1,Cosponsor
194,Jon Tester,Democratic Party,Montana,SJRes 20,115- 1,Primary
195,Sheldon Whitehouse,Democratic Party,Rhode Island,SJRes 20,115- 1,Cosponsor
196,Dana T. Rohrabacher,Republican Party,California,HJRes 15,109- 1,Primary
197,Peter Hoekstra,Republican Party,Michigan,HJRes 69,111- 2,Primary
198,James P. McGovern,Democratic Party,Massachusetts,HJRes 88,112- 1,Primary
199,Raúl M. Grijalva,Democratic Party,Arizona,HJRes 88,112- 1,Cosponsor
200,Bob Filner,Democratic Party,California,HJRes 88,112- 1,Cosponsor
201,Sam Farr,Democratic Party,California,HJRes 88,112- 1,Cosponsor
202,Barbara Lee,Democratic Party,California,HJRes 88,112- 1,Cosponsor
203,Janice Hahn,Democratic Party,California,HJRes 88,112- 1,Cosponsor
204,Ed Perlmutter,Democratic Party,Colorado,HJRes 88,112- 1,Cosponsor
205,Christopher S. Murphy,Democratic Party,Connecticut,HJRes 88,112- 1,Cosponsor
206,Frederica S. Wilson,Democratic Party,Florida,HJRes 88,112- 1,Cosponsor
207,Jesse Louis Jackson Jr.,Democratic Party,Illinois,HJRes 88,112- 1,Cosponsor
208,Chellie Pingree,Democratic Party,Maine,HJRes 88,112- 1,Cosponsor
209,John P. Sarbanes,Democratic Party,Maryland,HJRes 88,112- 1,Cosponsor
210,John W. Olver,Democratic Party,Massachusetts,HJRes 88,112- 1,Cosponsor
211,John F. Tierney,Democratic Party,Massachusetts,HJRes 88,112- 1,Cosponsor
212,Richard E. Neal,Democratic Party,Massachusetts,HJRes 88,112- 1,Cosponsor
213,Michael E. Capuano,Democratic Party,Massachusetts,HJRes 88,112- 1,Cosponsor
214,John Conyers Jr.,Democratic Party,Michigan,HJRes 88,112- 1,Cosponsor
215,Martin Heinrich,Democratic Party,New Mexico,HJRes 88,112- 1,Cosponsor
216,Louise McIntosh Slaughter,Democratic Party,New York,HJRes 88,112- 1,Cosponsor
217,Maurice D. Hinchey,Democratic Party,New York,HJRes 88,112- 1,Cosponsor
218,Eliot L. Engel,Democratic Party,New York,HJRes 88,112- 1,Cosponsor
219,Walter B. Jones Jr.,Republican Party,North Carolina,HJRes 88,112- 1,Cosponsor
220,Earl Blumenauer,Democratic Party,Oregon,HJRes 88,112- 1,Cosponsor
221,Peter A. DeFazio,Democratic Party,Oregon,HJRes 88,112- 1,Cosponsor
222,David N. Cicilline,Democratic Party,Rhode Island,HJRes 88,112- 1,Cosponsor
223,Steve Cohen,Democratic Party,Tennessee,HJRes 88,112- 1,Cosponsor
224,Jim Cooper,Democratic Party,Tennessee,HJRes 88,112- 1,Cosponsor
225,Gene Eugene Green,Democratic Party,Texas,HJRes 88,112- 1,Cosponsor
226,Peter Welch,Democratic Party,Vermont,HJRes 88,112- 1,Cosponsor
227,Adam Smith,Democratic Party,Washington,HJRes 88,112- 1,Cosponsor
228,Jim A. McDermott,Democratic Party,Washington,HJRes 88,112- 1,Cosponsor
229,Eleanor Holmes Norton,Democratic Party,the District of Columbia,HJRes 88,112- 1,Cosponsor
230,John Daugherty White,Republican Party,Kentucky,HRes 25,48- 1,Primary
231,Mark Adam Foley,Republican Party,Florida,HJRes 44,108- 1,Primary
232,John D. Hayworth Jr.,Republican Party,Arizona,HJRes 44,108- 1,Cosponsor
233,John B. Shadegg,Republican Party,Arizona,HJRes 44,108- 1,Cosponsor
234,John T. Doolittle,Republican Party,California,HJRes 44,108- 1,Cosponsor
235,Christopher H. Shays,Republican Party,Connecticut,HJRes 44,108- 1,Cosponsor
236,Virginia Brown-Waite,Republican Party,Florida,HJRes 44,108- 1,Cosponsor
237,E. Clay Shaw Jr.,Republican Party,Florida,HJRes 44,108- 1,Cosponsor
238,Jeff Miller,Republican Party,Florida,HJRes 44,108- 1,Cosponsor
239,Nathan Deal,Republican Party,Georgia,HJRes 44,108- 1,Cosponsor
240,Charles W. Norwood Jr.,Republican Party,Georgia,HJRes 44,108- 1,Cosponsor
241,Douglas K. Bereuter,Republican Party,Nebraska,HJRes 44,108- 1,Cosponsor
242,Scott Garrett,Republican Party,New Jersey,HJRes 44,108- 1,Cosponsor
243,John M. McHugh,Republican Party,New York,HJRes 44,108- 1,Cosponsor
244,Cass Ballenger,Republican Party,North Carolina,HJRes 44,108- 1,Cosponsor
245,Walter B. Jones Jr.,Republican Party,North Carolina,HJRes 44,108- 1,Cosponsor
246,Kevin P. Brady,Republican Party,Texas,HJRes 44,108- 1,Cosponsor
247,Virgil H. Goode Jr.,Republican Party,Virginia,HJRes 44,108- 1,Cosponsor
248,Peter Hoekstra,Republican Party,Michigan,HJRes 180,103- 1,Primary
249,Tim Hutchinson,Republican Party,Arkansas,HJRes 180,103- 1,Cosponsor
250,William P. Baker,Republican Party,California,HJRes 180,103- 1,Cosponsor
251,Howard P. McKeon,Republican Party,California,HJRes 180,103- 1,Cosponsor
252,Edward R. Royce,Republican Party,California,HJRes 180,103- 1,Cosponsor
253,Ken S. Calvert,Republican Party,California,HJRes 180,103- 1,Cosponsor
254,Thomas W. Ewing,Republican Party,Illinois,HJRes 180,103- 1,Cosponsor
255,Joseph K. Knollenberg,Republican Party,Michigan,HJRes 180,103- 1,Cosponsor
256,Nick Smith,Republican Party,Michigan,HJRes 180,103- 1,Cosponsor
257,Fred Stephen Upton,Republican Party,Michigan,HJRes 180,103- 1,Cosponsor
258,L. William Paxon,Republican Party,New York,HJRes 180,103- 1,Cosponsor
259,Jack Quinn,Republican Party,New York,HJRes 180,103- 1,Cosponsor
260,Gerald Brooks Hunt Solomon,Republican Party,New York,HJRes 180,103- 1,Cosponsor
261,John R. Kasich,Republican Party,Ohio,HJRes 180,103- 1,Cosponsor
262,Ernest J. Istook Jr.,Republican Party,Oklahoma,HJRes 180,103- 1,Cosponsor
263,Richard Wellington Townshend,Democratic Party,Illinois,HRes 69,48- 1,Primary
264,David Vitter,Republican Party,Louisiana,SJRes 2,112- 1,Primary
265,Rand Paul,Republican Party,Kentucky,SJRes 2,112- 1,Cosponsor
266,John T. Doolittle,Republican Party,California,HJRes 17,110- 1,Primary
267,Elton W. Gallegly,Republican Party,California,HJRes 129,103- 1,Primary
268,Don E. Young,Republican Party,Alaska,HJRes 129,103- 1,Cosponsor
269,Robert Stump,Republican Party,Arizona,HJRes 129,103- 1,Cosponsor
270,Randall H. Cunningham,Republican Party,California,HJRes 129,103- 1,Cosponsor
271,John T. Doolittle,Republican Party,California,HJRes 129,103- 1,Cosponsor
272,Alfred A. McCandless,Republican Party,California,HJRes 129,103- 1,Cosponsor
273,Dana T. Rohrabacher,Republican Party,California,HJRes 129,103- 1,Cosponsor
274,Walter Herger,Republican Party,California,HJRes 129,103- 1,Cosponsor
275,Howard P. McKeon,Republican Party,California,HJRes 129,103- 1,Cosponsor
276,Jay Kim,Republican Party,California,HJRes 129,103- 1,Cosponsor
277,William P. Baker,Republican Party,California,HJRes 129,103- 1,Cosponsor
278,Edward R. Royce,Republican Party,California,HJRes 129,103- 1,Cosponsor
279,Robert Kenneth Dornan,Republican Party,California,HJRes 129,103- 1,Cosponsor
280,Duncan L. Hunter,Republican Party,California,HJRes 129,103- 1,Cosponsor
281,Christopher H. Shays,Republican Party,Connecticut,HJRes 129,103- 1,Cosponsor
282,Bill McCollum,Republican Party,Florida,HJRes 129,103- 1,Cosponsor
283,Porter J. Goss,Republican Party,Florida,HJRes 129,103- 1,Cosponsor
284,Nathan Deal,Democratic Party,Georgia,HJRes 129,103- 1,Cosponsor
285,Henry John Hyde,Republican Party,Illinois,HJRes 129,103- 1,Cosponsor
286,J. Dennis Hastert,Republican Party,Illinois,HJRes 129,103- 1,Cosponsor
287,Andrew Jacobs Jr.,Democratic Party,Indiana,HJRes 129,103- 1,Cosponsor
288,Jan Meyers,Republican Party,Kansas,HJRes 129,103- 1,Cosponsor
289,Wayne T. Gilchrest,Republican Party,Maryland,HJRes 129,103- 1,Cosponsor
290,Peter I. Blute,Republican Party,Massachusetts,HJRes 129,103- 1,Cosponsor
291,Norvell William Emerson,Republican Party,Missouri,HJRes 129,103- 1,Cosponsor
292,Marge Roukema,Republican Party,New Jersey,HJRes 129,103- 1,Cosponsor
293,Richard Zimmer,Republican Party,New Jersey,HJRes 129,103- 1,Cosponsor
294,Joseph Skeen,Republican Party,New Mexico,HJRes 129,103- 1,Cosponsor
295,Gerald Brooks Hunt Solomon,Republican Party,New York,HJRes 129,103- 1,Cosponsor
296,David A. Levy,Republican Party,New York,HJRes 129,103- 1,Cosponsor
297,L. William Paxon,Republican Party,New York,HJRes 129,103- 1,Cosponsor
298,Charles H. Taylor,Republican Party,North Carolina,HJRes 129,103- 1,Cosponsor
299,H. Martin Lancaster,Democratic Party,North Carolina,HJRes 129,103- 1,Cosponsor
300,John R. Kasich,Republican Party,Ohio,HJRes 129,103- 1,Cosponsor
301,Michael G. Oxley,Republican Party,Ohio,HJRes 129,103- 1,Cosponsor
302,Ralph Regula,Republican Party,Ohio,HJRes 129,103- 1,Cosponsor
303,Ronald K. Machtley,Republican Party,Rhode Island,HJRes 129,103- 1,Cosponsor
304,John J. Duncan Jr.,Republican Party,Tennessee,HJRes 129,103- 1,Cosponsor
305,Bill Archer,Republican Party,Texas,HJRes 129,103- 1,Cosponsor
306,Richard K. Armey,Republican Party,Texas,HJRes 129,103- 1,Cosponsor
307,Thomas Dale DeLay,Republican Party,Texas,HJRes 129,103- 1,Cosponsor
308,William Orton,Democratic Party,Utah,HJRes 129,103- 1,Cosponsor
309,Bob W. Goodlatte,Republican Party,Virginia,HJRes 129,103- 1,Cosponsor
310,George William Norris,Republican Party,Nebraska,HJRes 120,59- 1,Primary
311,John Abney Culberson,Republican Party,Texas,HJRes 75,112- 1,Primary
312,Tim Huelskamp,Republican Party,Kansas,HJRes 32,114- 1,Primary
313,Bruce Westerman,Republican Party,Arkansas,HJRes 32,114- 1,Cosponsor
314,Doug LaMalfa,Republican Party,California,HJRes 32,114- 1,Cosponsor
315,Richard B. Nugent,Republican Party,Florida,HJRes 32,114- 1,Cosponsor
316,Rick Allen,Republican Party,Georgia,HJRes 32,114- 1,Cosponsor
317,Jody Hice,Republican Party,Georgia,HJRes 32,114- 1,Cosponsor
318,Doug Collins,Republican Party,Georgia,HJRes 32,114- 1,Cosponsor
319,Randy Hultgren,Republican Party,Illinois,HJRes 32,114- 1,Cosponsor
320,Steve A. King,Republican Party,Iowa,HJRes 32,114- 1,Cosponsor
321,John Fleming,Republican Party,Louisiana,HJRes 32,114- 1,Cosponsor
322,Andy Harris,Republican Party,Maryland,HJRes 32,114- 1,Cosponsor
323,Tim Walberg,Republican Party,Michigan,HJRes 32,114- 1,Cosponsor
324,Steven M. Palazzo,Republican Party,Mississippi,HJRes 32,114- 1,Cosponsor
325,Stevan E. Pearce,Republican Party,New Mexico,HJRes 32,114- 1,Cosponsor
326,Robert Pittenger,Republican Party,North Carolina,HJRes 32,114- 1,Cosponsor
327,Richard Hudson,Republican Party,North Carolina,HJRes 32,114- 1,Cosponsor
328,Walter B. Jones Jr.,Republican Party,North Carolina,HJRes 32,114- 1,Cosponsor
329,David Rouzer,Republican Party,North Carolina,HJRes 32,114- 1,Cosponsor
330,Jim Jordan,Republican Party,Ohio,HJRes 32,114- 1,Cosponsor
331,Bob Gibbs,Republican Party,Ohio,HJRes 32,114- 1,Cosponsor
