,Name,Party,State,Bill:,Congress-Session:,Category
0,John Abney Culberson,Republican Party,Texas,HJRes 76,112- 1,Primary
1,John A. Yarmuth,Democratic Party,Kentucky,HJRes 126,115- 2,Primary
2,Mark DeSaulnier,Democratic Party,California,HJRes 126,115- 2,Cosponsor
3,Steve Cohen,Democratic Party,Tennessee,HJRes 126,115- 2,Cosponsor
4,Peter Welch,Democratic Party,Vermont,HJRes 126,115- 2,Cosponsor
5,Eleanor Holmes Norton,Democratic Party,the District of Columbia,HJRes 126,115- 2,Cosponsor
6,John Gillis Townsend Jr.,Republican Party,Delaware,SJRes 7,76- 1,Primary
7,Edward Raymond Burke,Democratic Party,Nebraska,SJRes 7,76- 1,Cosponsor
8,George Frisbie Hoar,Republican Party,Massachusetts,SRes 83,55- 2,Primary
9,Steve Cohen,Democratic Party,Tennessee,HJRes 14,117- 1,Primary
10,Zoe Lofgren,Democratic Party,California,HJRes 14,117- 1,Cosponsor
11,Anna G. Eshoo,Democratic Party,California,HJRes 14,117- 1,Cosponsor
12,Julia Brownley,Democratic Party,California,HJRes 14,117- 1,Cosponsor
13,John Garamendi,Democratic Party,California,HJRes 14,117- 1,Cosponsor
14,Janice D. Schakowsky,Democratic Party,Illinois,HJRes 14,117- 1,Cosponsor
15,Adriano Espaillat,Democratic Party,New York,HJRes 14,117- 1,Cosponsor
16,Peter A. DeFazio,Democratic Party,Oregon,HJRes 14,117- 1,Cosponsor
17,Jim Cooper,Democratic Party,Tennessee,HJRes 14,117- 1,Cosponsor
18,John A. Yarmuth,Democratic Party,Kentucky,HJRes 53,114- 1,Primary
19,Steve Cohen,Democratic Party,Tennessee,HJRes 53,114- 1,Cosponsor
20,Timothy Joseph Penny,Democratic Party,Minnesota,HJRes 521,102- 2,Primary
21,John Abney Culberson,Republican Party,Texas,HJRes 54,113- 1,Primary
22,Trey Gowdy,Republican Party,South Carolina,HJRes 54,113- 1,Cosponsor
23,Mick Mulvaney,Republican Party,South Carolina,HJRes 54,113- 1,Cosponsor
24,Sam Robert Johnson,Republican Party,Texas,HJRes 54,113- 1,Cosponsor
25,Rob Bishop,Republican Party,Utah,HJRes 54,113- 1,Cosponsor
26,Israel Moore Foster,Republican Party,Ohio,HJRes 184,68- 1,Primary
27,Steve Daines,Republican Party,Montana,SJRes 49,116- 1,Primary
28,Michael D. Crapo,Republican Party,Idaho,SJRes 49,116- 1,Cosponsor
29,Charles E. Grassley,Republican Party,Iowa,SJRes 49,116- 1,Cosponsor
30,Roy Blunt,Republican Party,Missouri,SJRes 49,116- 1,Cosponsor
31,Kevin Cramer,Republican Party,North Dakota,SJRes 49,116- 1,Cosponsor
32,Patrick J. Toomey,Republican Party,Pennsylvania,SJRes 49,116- 1,Cosponsor
33,Marsha W. Blackburn,Republican Party,Tennessee,SJRes 49,116- 1,Cosponsor
34,John Cornyn,Republican Party,Texas,SJRes 49,116- 1,Cosponsor
35,John A. Barrasso,Republican Party,Wyoming,SJRes 49,116- 1,Cosponsor
36,Michael B. Enzi,Republican Party,Wyoming,SJRes 49,116- 1,Cosponsor
37,Gerald Brooks Hunt Solomon,Republican Party,New York,HJRes 11,104- 1,Primary
38,Norvell William Emerson,Republican Party,Missouri,HJRes 50,101- 1,Primary
39,Richard Wellington Townshend,Democratic Party,Illinois,HJRes 172,46- 2,Primary
40,J. Strom Thurmond,Republican Party,South Carolina,SJRes 1,107- 1,Primary
41,John W. Warner,Republican Party,Virginia,SJRes 1,107- 1,Cosponsor
42,David Vitter,Republican Party,Louisiana,SJRes 21,114- 1,Primary
43,Jefferson B. Sessions,Republican Party,Alabama,SJRes 21,114- 1,Cosponsor
44,Lisa A. Murkowski,Republican Party,Alaska,SJRes 21,114- 1,Cosponsor
45,Charles E. Grassley,Republican Party,Iowa,SJRes 21,114- 1,Cosponsor
46,Deb Fischer,Republican Party,Nebraska,SJRes 21,114- 1,Cosponsor
47,Dean Heller,Republican Party,Nevada,SJRes 21,114- 1,Cosponsor
48,Patrick J. Toomey,Republican Party,Pennsylvania,SJRes 21,114- 1,Cosponsor
49,Lindsey O. Graham,Republican Party,South Carolina,SJRes 21,114- 1,Cosponsor
50,John Cornyn,Republican Party,Texas,SJRes 21,114- 1,Cosponsor
51,Orrin G. Hatch,Republican Party,Utah,SJRes 21,114- 1,Cosponsor
52,Wesley Livsey Jones,Republican Party,Washington,SJRes 125,63- 2,Primary
53,Henry Barbosa González,Democratic Party,Texas,HJRes 518,102- 2,Primary
54,Thomas Chipman McRae,Democratic Party,Arkansas,HRes 4,54- 1,Primary
55,Carolyn B. Maloney,Democratic Party,New York,HJRes 40,107- 1,Primary
56,Earl F. Hilliard,Democratic Party,Alabama,HJRes 40,107- 1,Cosponsor
57,Robert E. Cramer Jr.,Democratic Party,Alabama,HJRes 40,107- 1,Cosponsor
58,Eni F. H. Faleomavaega,Democratic Party,American Samoa,HJRes 40,107- 1,Cosponsor
59,James T. Kolbe,Republican Party,Arizona,HJRes 40,107- 1,Cosponsor
60,Joe Baca,Democratic Party,California,HJRes 40,107- 1,Cosponsor
61,Xavier Becerra,Democratic Party,California,HJRes 40,107- 1,Cosponsor
62,Howard L. Berman,Democratic Party,California,HJRes 40,107- 1,Cosponsor
63,Lois Capps,Democratic Party,California,HJRes 40,107- 1,Cosponsor
64,Gary Condit,Democratic Party,California,HJRes 40,107- 1,Cosponsor
65,Susan A. Davis,Democratic Party,California,HJRes 40,107- 1,Cosponsor
66,Calvin M. Dooley,Democratic Party,California,HJRes 40,107- 1,Cosponsor
67,Anna G. Eshoo,Democratic Party,California,HJRes 40,107- 1,Cosponsor
68,Sam Farr,Democratic Party,California,HJRes 40,107- 1,Cosponsor
69,Bob Filner,Democratic Party,California,HJRes 40,107- 1,Cosponsor
70,Jane Harman,Democratic Party,California,HJRes 40,107- 1,Cosponsor
71,Stephen Horn,Republican Party,California,HJRes 40,107- 1,Cosponsor
72,Mike Michael Thompson,Democratic Party,California,HJRes 40,107- 1,Cosponsor
73,Adam B. Schiff,Democratic Party,California,HJRes 40,107- 1,Cosponsor
74,Diane E. Watson,Democratic Party,California,HJRes 40,107- 1,Cosponsor
75,Doug Ose,Republican Party,California,HJRes 40,107- 1,Cosponsor
76,Diana L. DeGette,Democratic Party,Colorado,HJRes 40,107- 1,Cosponsor
77,Rosa L. DeLauro,Democratic Party,Connecticut,HJRes 40,107- 1,Cosponsor
78,John B. Larson,Democratic Party,Connecticut,HJRes 40,107- 1,Cosponsor
79,Robert Ruhl Simmons,Republican Party,Connecticut,HJRes 40,107- 1,Cosponsor
80,Michael N. Castle,Republican Party,Delaware,HJRes 40,107- 1,Cosponsor
81,Corrine Brown,Democratic Party,Florida,HJRes 40,107- 1,Cosponsor
82,Peter Deutsch,Democratic Party,Florida,HJRes 40,107- 1,Cosponsor
83,Alcee L. Hastings,Democratic Party,Florida,HJRes 40,107- 1,Cosponsor
84,James Davis,Democratic Party,Florida,HJRes 40,107- 1,Cosponsor
85,Sanford D. Bishop Jr.,Democratic Party,Georgia,HJRes 40,107- 1,Cosponsor
86,Neil Abercrombie,Democratic Party,Hawaii,HJRes 40,107- 1,Cosponsor
87,Judy Biggert,Republican Party,Illinois,HJRes 40,107- 1,Cosponsor
88,Rod Blagojevich,Democratic Party,Illinois,HJRes 40,107- 1,Cosponsor
89,Danny K. Davis,Democratic Party,Illinois,HJRes 40,107- 1,Cosponsor
90,Lane A. Evans,Democratic Party,Illinois,HJRes 40,107- 1,Cosponsor
91,Luis V. Gutiérrez,Democratic Party,Illinois,HJRes 40,107- 1,Cosponsor
92,David Phelps,Democratic Party,Illinois,HJRes 40,107- 1,Cosponsor
93,Jerry F. Costello,Democratic Party,Illinois,HJRes 40,107- 1,Cosponsor
94,Julia M. Carson,Democratic Party,Indiana,HJRes 40,107- 1,Cosponsor
95,Baron P. Hill,Democratic Party,Indiana,HJRes 40,107- 1,Cosponsor
96,Timothy Roemer,Democratic Party,Indiana,HJRes 40,107- 1,Cosponsor
97,Leonard L. Boswell,Democratic Party,Iowa,HJRes 40,107- 1,Cosponsor
98,James A. Leach,Republican Party,Iowa,HJRes 40,107- 1,Cosponsor
99,Christopher John,Democratic Party,Louisiana,HJRes 40,107- 1,Cosponsor
100,Thomas H. Allen,Democratic Party,Maine,HJRes 40,107- 1,Cosponsor
101,John Baldacci,Democratic Party,Maine,HJRes 40,107- 1,Cosponsor
102,Benjamin L. Cardin,Democratic Party,Maryland,HJRes 40,107- 1,Cosponsor
103,Elijah E. Cummings,Democratic Party,Maryland,HJRes 40,107- 1,Cosponsor
104,Michael E. Capuano,Democratic Party,Massachusetts,HJRes 40,107- 1,Cosponsor
