X1,Date,Type,Action,Links,Bill:,Congress-Session:
56,"August 02, 1989",status,Cosponsors added,135 Cong Rec H 4947,HJRes 81,101- 1
57,"July 27, 1989",status,Cosponsors added,135 Cong Rec H 4460,HJRes 81,101- 1
58,"July 26, 1989",status,Cosponsors added,135 Cong Rec H 4353,HJRes 81,101- 1
59,"July 25, 1989",status,Cosponsors added,135 Cong Rec H 4271,HJRes 81,101- 1
60,"July 24, 1989",status,Cosponsors added,135 Cong Rec H 4144,HJRes 81,101- 1
61,"July 18, 1989",status,Cosponsors added,135 Cong Rec H 3882,HJRes 81,101- 1
62,"May 10, 1989",status,Cosponsors added,135 Cong Rec H 1833,HJRes 81,101- 1
63,"April 13, 1989",status,Cosponsors added,135 Cong Rec H 1233,HJRes 81,101- 1
64,"April 12, 1989",status,Cosponsors added,135 Cong Rec H 1127,HJRes 81,101- 1
65,"April 10, 1989",status,Cosponsors added,135 Cong Rec H 998,HJRes 81,101- 1
66,"April 05, 1989",status,Cosponsors added,135 Cong Rec H 962,HJRes 81,101- 1
67,"February 23, 1989",status,Cosponsors added,135 Cong Rec H 383,HJRes 81,101- 1
68,"January 20, 1989",referral,Referred to House Committee on the Judiciary,135 Cong Rec H 94,HJRes 81,101- 1
69,"March 20, 2003",referral,Referred to House Committee on the Judiciary,149 Cong Rec H 2270,HJRes 42,108- 1
70,"February 04, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 285,HJRes 38,105- 1
71,"June 25, 1997",referral,Referred to the House Judiciary Committee,143 Cong Rec H 4646,HJRes 86,105- 1
72,"September 21, 1994",status,Cosponsor(s) added,140 Cong Rec H 9440,HJRes 107,103- 1
73,"March 17, 1994",status,Cosponsor(s) added,140 Cong Rec H 1541,HJRes 107,103- 1
74,Session 1,NA,NA,NA,HJRes 107,103- 1
75,"February 16, 1993",referral,Referred to the House Judiciary Committee,139 Cong Rec H 639,HJRes 107,103- 1
76,"March 25, 2019",status,Introduced in the Senate,165 Cong Rec S1939,SJRes 14,116- 1
77,"March 25, 2019",referral,Referred to the Senate Committee on the Judiciary,165 Cong Rec S1939,SJRes 14,116- 1
78,"March 03, 2009",status,Introduced in the House,155 Cong Rec H2925,HJRes 34,111- 1
79,"March 03, 2009",referral,Referred to the House Committee on the Judiciary.,155 Cong Rec H2925,HJRes 34,111- 1
80,"January 03, 2013",status,Introduced in the House,159 Cong Rec H33,HJRes 9,113- 1
81,"January 03, 2013",referral,Referred to the House Committee on the Judiciary,159 Cong Rec H33,HJRes 9,113- 1
82,"February 08, 1999",referral,Referred to the House Committee on the Judiciary,145 Cong Rec H 481,HJRes 24,106- 1
