id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9
5470,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-02-28,87,NA,NA,NA,Matthews,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5471,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-02-28,87,NA,NA,NA,Saund,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5472,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-02-28,87,NA,NA,NA,Shipley,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5473,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-03-01,87,NA,NA,NA,Granahan,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5474,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-03-02,87,NA,NA,NA,Moss,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5475,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-03-06,87,NA,NA,NA,Gubser,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5490,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-03-14,87,NA,NA,NA,Pirnie,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5518,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1961-04-11,87,NA,NA,NA,McIntire,Maine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5600,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relative to equal rights for men and women,1962-01-24,87,NA,NA,NA,Reifel,South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5605,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1962-03-06,87,NA,NA,NA,Short,North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5606,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1962-03-06,87,NA,NA,NA,Nix,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5612,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal for equal rights for men and women,1962-03-15,87,NA,NA,NA,Tollefson,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5613,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Relative to equal rights for men and women,1962-03-19,87,NA,NA,NA,Morgan,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5623,"Proposed Amendments to the Constitution of the United States Introduced in Congress from the 69th Congress, 2d Session through the 87th Congress, 2d Session, December 6, 1926 to January 3, 1963, S. Doc. No. 163, 87th Cong. 2d Sess., Washington: U.S. Government Printing Office, 1963.",NARA,Proposal relative to equal rights for men and women,1962-04-12,87,NA,NA,NA,Horan,Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5676,NA,NARA,Proposal relative to equal rights for men and women,1962-07-17,87,NA,NA,NA,Wilson,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5679,NA,NARA,Proposal relative to equal rights for men and women,1962-07-24,87,NA,NA,NA,Flood,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5691,NA,NARA,Proposal relative to equal rights for men and women,1961-07-18,87,NA,NA,NA,Olsen,Montana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5692,NA,NARA,Proposal relative to equal rights for men and women,1961-07-25,87,NA,NA,NA,Adair,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5693,NA,NARA,Proposal relative to equal rights for men and women,1961-08-17,87,NA,NA,NA,Steed,Oklahoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5694,NA,NARA,Proposal relative to equal rights for men and women,1961-08-21,87,NA,NA,NA,Morrison,Louisiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
