id,source_citation,source_group,title_or_description_from_source,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic2,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9
12167,"Scan of “The Liberator” magazine, Summer 2005, Volume 32 #2, image 1519, Adam Matthew Digital Archives, Michigan State University, East Lansing, Michigan.","Gender, Identity, and Social Change Database",Parental and Family Rights,2005-07-01,NA,NA,NA,NA,"American Coalition for Fathers and Children (ACFC) president Stephen Baskerville in ""The Liberator""",NA,NA,"While family law is a state issue, constitutional rights are federal. We still plan to promote federal protection for parental rights. With adequate preparation, we can succeed where others, with a weaker bill, failed. Eventually we would like to see (and we are not alone) a federal constitutional amendment to protect parental and family rights. This would be more comprehensive than the current Marriage Protection Amendment, which is probably too narrow to accomplish even its own purpose and is certainly too limited to protect families, parents, and children from the reach of government intrusion. If the Constitution needs an amendment today to deal with a contingency the framers could not possibly foresee, it is one to protect the integrity of families, the rights of children to be raised by their parents, and the rights of parents to the care and custody of their children",n,NA,NA,fndfam,NA,NA,NA,NA,NA,NA,NA,NA
12169,"Scan of “The Liberator” magazine, Spring 2009, Volume 35 #2, image 1654, Adam Matthew Digital Archives, Michigan State University, East Lansing, Michigan.","Gender, Identity, and Social Change Database",Parental rights,2009-03-01,NA,NA,NA,NA,"Representative Pete Hoekstra of Michigan, quoted in ""The Liberator""",NA,NA,"SECTION 1
The liberty of parents to direct the upbringing and education of their children is a fundamental right (ACFC endorses adding ‘regardless of marital status’ to the end of this section, thereby extending the amendment’s protection to all parents.)
SECTION 2
Neither the United States nor any state shall infringe upon this right without demonstrating that its governmental interest as applied to the person is of the highest order and not otherwise served.
SECTION 3
Neither treaty nor any source of international law may be employed to supersede, modify, interpret, or apply to the rights guaranteed by this article.
An amendment to the United States Constitution would secure the ultimate liberty that the founders envisioned when our constitution was written. The liberty interest parents have in their offspring must be formally protected. The Supreme Court has ruled that the fundamental right of the parent-child relationship is a right far more precious than property rights.
Let’s do as the Irish have done. Let us state our intention to protect our children and future generations from the misery that unjustified State intervention into familial affairs represents. Our Supreme Court has spoken, yet its opinions are ignored. It’s time to amend our constitution so that there is no misunderstanding that America’s public policy is in full support of the fundamental right of parents to raise and educate their children without unjustified State intervention",n,NA,NA,fndfam,NA,NA,NA,NA,NA,NA,NA,NA
1604,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",NARA,Prohibition of appropriations to sectarian schools,1870-04-18,41,2,NA,NA,Burdett,Missouri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747,"Ames, Herman V. The Proposed Amendments to the Constitution of the United States During the First Century of Its History, American Historical Society Annual Report for the year 1896; H. Doc. 353 part 2, 54th Cong., 2d Session, volume 3550-2, Washington: U.S. Government Printing Office, 1897.",NARA,States prohibited from making any law respecting an established of religion or appropriating public funds to sectarian schools,1878-01-10,45,2,NA,NA,Edmunds,Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8824,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Tax credits for support of parochial schools,1973-07-24,93,NA,NA,NA,Dulski,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9137,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Tax credits and other assistance to parochial schools,1975-06-03,94,NA,NA,NA,Nowak,New York,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9142,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Financial assistance to religiously affiliated schools,1975-06-17,94,NA,NA,NA,Mottl,Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9254,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Financial assistance to religiously affiliated schools,1975-06-13,94,NA,NA,NA,Mottl,Ohio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11891,"Republican Party Platforms, Republican Party Platform of 1876 Online by Gerhard Peters and John T. Woolley, The American Presidency Project",Party Platforms,Preventing the use of public funds for sectarian institutions,1876-06-14,NA,NA,NA,NA,Republican Party Platform of 1876,NA,NA,"an amendment to the constitution of the United States, forbidding the application of any public funds or property for the benefit of any school or institution under sectarian control.",NA,NA,NA,relsup-,NA,NA,NA,NA,NA,NA,NA,NA
11892,"Republican Party Platforms, Republican Party Platform of 1880 Online by Gerhard Peters and John T. Woolley, The American Presidency Project",Party Platforms,Preventing the use of public funds for sectarian institutions,1880-06-02,NA,NA,NA,NA,Republican Party Platform of 1880,NA,NA,"We, therefore, recommend that the Constitution be so amended as to lay the same prohibition upon the Legislature of each State, and to forbid the appropriation of public funds to the support of sectarian schools.",NA,NA,NA,relsup-,NA,NA,NA,NA,NA,NA,NA,NA
